D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
170071181,3,1,4,3,1,3,4
170071187,1,3,3,4,1,3,4
170071188,3,3,4,4,4,4,4
170071191,4,3,3,3,1,1,3
170071216,1,3,1,3,3,3,3
170071219,3,3,3,3,4,2,4
170071222,3,3,3,3,3,3,3
170071225,3,3,4,4,3,4,4
170071226,3,3,4,4,1,3,4
170071230,1,1,1,1,1,1,1
170071231,1,1,1,3,1,1,1
170071234,3,3,1,4,4,3,4
170071248,3,2,3,4,3,3,4
170071249,3,1,4,4,3,3,4
170071252,4,2,4,4,4,4,4
170071255,4,3,3,4,3,3,3
170071258,4,2,3,3,3,4,4
170071259,3,3,4,4,4,4,4
170071261,3,1,2,4,4,3,4
170071263,4,4,3,4,4,4,4
170071264,4,2,4,4,4,4,4
170071265,3,2,3,4,4,3,4
170071276,1,3,3,3,2,3,3
170071279,3,1,3,3,1,1,1
170071284,3,3,4,3,4,3,3
170071296,3,2,2,4,4,4,4
170071297,1,1,3,4,1,3,4
170071302,3,3,4,3,3,3,4
170071303,3,3,4,4,4,4,4
170071304,4,4,4,4,4,4,4
170071305,2,1,3,3,3,3,3
170071306,4,3,3,4,4,4,4
170071307,4,3,4,3,4,3,4
170071308,4,3,4,4,3,3,3
170071309,3,4,4,4,4,4,4
170071310,3,4,4,4,4,4,4
170071311,4,4,4,4,4,4,4
170071313,4,1,3,4,3,4,4
170071317,3,1,1,4,1,1,1
170071320,3,3,1,4,3,1,3
170071327,1,1,3,3,1,1,1
170071429,3,3,4,3,3,3,3
170071432,1,1,3,3,1,1,1
170071433,3,2,3,3,3,3,3
170071444,1,1,3,1,1,1,1
170071448,1,2,3,3,3,3,3
170071454,3,3,4,4,4,4,4
170071463,1,1,3,4,1,1,1
170071472,1,1,1,4,1,2,4
170071473,3,4,4,4,4,4,4
170071474,4,4,4,4,4,4,4
170071481,3,2,3,4,1,4,4
170071484,3,1,3,3,1,3,3
170071491,3,3,4,3,3,4,3
170071494,4,3,3,3,3,1,4
170071495,3,2,3,4,3,3,4
170071496,3,2,3,3,2,3,4
170071497,3,3,3,4,2,3,3
170071504,3,2,3,4,1,2,3
170071505,2,3,3,3,4,3,3
170071506,3,1,2,4,3,3,3
170071513,3,2,3,3,2,2,2
170071514,2,1,1,4,1,3,4
170071515,3,1,4,4,3,4,3
170071516,3,3,3,4,4,4,4
170071517,4,3,4,4,4,4,4
170071525,2,1,1,1,1,1,1
170071527,3,3,3,4,4,4,4
170071528,3,1,3,3,2,3,3
170071530,3,1,4,4,1,3,4
170071532,4,1,4,2,2,2,3
170071533,3,3,3,4,4,4,4
170071534,3,3,3,4,1,4,4
170071537,2,2,3,4,2,2,3
170071541,3,2,4,4,4,4,4
170071543,3,1,3,4,3,3,3
170071547,4,4,4,4,4,4,4
170071552,4,3,3,3,3,4,4
170071556,4,4,4,4,4,4,4
170071558,4,3,4,4,4,3,4
170071559,3,1,3,3,3,3,3
170071566,3,3,4,4,3,3,3
170071573,4,3,4,4,4,4,4
170071586,1,1,2,4,1,1,3
170071589,2,2,3,4,2,2,2
170071594,3,3,3,2,1,1,3
170071602,3,2,1,1,1,1,1
170071605,4,2,3,4,3,3,3
170071608,4,1,1,3,3,3,4
170071612,3,2,4,3,2,2,3
170071621,3,3,3,4,4,3,3
170071622,4,3,4,4,4,4,4
170071623,4,2,3,3,4,3,3
170071624,3,3,3,3,3,4,4
170071626,2,3,4,4,2,4,3
170071629,1,1,1,4,1,1,4
170071634,3,3,3,3,4,3,4
170071637,3,3,3,4,4,4,4
170071638,1,1,3,3,1,1,1
170071639,3,2,4,4,2,3,3
170071642,1,1,1,4,1,1,4
170071643,3,2,2,3,3,2,3
170071727,3,3,1,3,3,3,3
170071728,2,2,2,4,2,2,4
170071729,3,1,3,4,1,1,3
170071730,1,3,4,4,4,4,4
170071735,3,2,4,4,2,3,4
170071739,1,1,4,3,1,1,1
170071748,4,3,3,4,4,4,4
170071751,1,1,3,3,1,3,3
170071752,3,2,3,4,3,3,3
170071755,4,3,3,4,3,4,4
