D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
170070334,7.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,8.0,8.0,1.0,1.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0
170070337,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070341,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3.0,2.0
170070344,9.0,9.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,5.0,1.0,5.0,1.0,2.0
170070358,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0
170070366,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
170070369,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,10.0,10.0,4.0,10.0,1.0,3.0,2.0,6.0,8.0,1.0,10.0
170070378,10.0,10.0,1.0,1.0,10.0,10.0,10.0,1.0,10.0,1.0,1.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0
170070385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070388,1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,10.0
170070389,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
170070390,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070393,4.0,1.0,1.0,6.0,2.0,7.0,3.0,1.0,7.0,9.0,1.0,8.0,1.0,8.0,6.0,6.0,5.0,5.0,10.0
170070394,7.0,5.0,7.0,5.0,5.0,8.0,6.0,3.0,1.0,9.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0
170070395,3.0,6.0,1.0,5.0,2.0,1.0,3.0,1.0,8.0,10.0,1.0,8.0,1.0,10.0,6.0,5.0,8.0,6.0,10.0
170070407,2.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
170070408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,10.0
170070415,5.0,5.0,5.0,4.0,5.0,10.0,10.0,5.0,10.0,8.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
170070418,10.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
170070421,5.0,4.0,4.0,1.0,1.0,6.0,5.0,9.0,9.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,6.0,3.0,7.0
170070422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
170070423,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
