D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
604070158,1,1,2,1,2,3,2,2
604070159,2,1,2,2,4,2,1,1
604070160,1,1,1,1,1,1,1,1
604070161,1,1,2,3,5,5,5,2
604070162,1,1,5,5,5,5,5,5
604070163,4,1,3,1,5,1,1,2
604070164,2,1,1,1,5,1,1,2
604070165,3,1,4,5,5,5,5,2
604070166,5,5,5,1,1,1,1,5
604070167,5,4,5,1,5,1,1,4
604070168,4,1,4,1,5,1,1,1
604070169,5,1,5,3,5,4,4,4
604070170,4,1,4,1,1,1,1,2
604070171,1,2,5,1,5,5,5,2
604070172,2,1,5,1,5,5,5,2
604070173,3,2,3,2,2,2,3,5
604070174,1,1,5,5,5,2,3,2
604070175,1,1,2,2,4,4,4,3
604070176,1,1,1,3,3,2,2,2
604070177,1,1,1,5,5,4,4,4
604070178,2,1,1,2,1,1,2,2
604070179,2,1,1,2,3,3,2,3
604070180,1,1,1,2,2,2,2,2
604070181,1,1,1,1,1,1,1,1
604070182,1,1,1,1,1,1,1,1
604070183,1,1,1,1,1,1,1,1
604070184,1,1,1,1,1,1,1,1
604070185,1,1,1,1,1,1,1,1
604070186,2,1,2,5,5,5,5,4
604070187,2,1,2,5,5,5,5,4
604070188,2,5,5,2,2,2,2,4
604070189,2,1,2,1,1,1,1,2
604070190,2,1,2,3,2,1,2,4
604070191,2,1,4,1,5,5,5,2
604070192,1,1,2,1,2,2,2,1
604070193,1,1,2,1,1,1,1,2
604070194,2,1,2,1,1,1,1,1
604070195,1,1,2,1,1,1,1,1
604070196,2,1,2,1,5,1,1,1
604070197,1,1,1,5,5,5,5,2
604070198,1,1,1,1,5,2,1,1
604070199,1,1,1,1,4,1,1,1
604070200,1,1,2,1,5,2,1,1
604070201,1,1,2,1,1,1,1,1
604070202,1,1,1,1,1,1,1,1
604070203,3,1,4,1,1,1,4,4
604070204,1,1,5,5,5,1,1,1
604070205,2,1,3,1,1,1,3,1
604070206,1,1,1,1,1,1,1,1
604070207,1,2,3,1,1,1,1,1
604070208,1,1,3,1,5,5,5,5
604070209,1,1,1,1,1,1,1,1
604070210,1,1,5,1,1,2,2,1
604070211,2,1,1,1,5,1,1,1
604070212,1,1,2,1,1,1,1,1
604070213,1,1,3,1,4,3,3,1
604070214,1,1,2,1,1,1,1,1
604070215,1,1,2,1,1,1,1,1
604070216,2,1,1,1,5,5,5,3
604070217,2,1,5,2,2,1,1,1
604070218,3,1,5,1,1,1,1,3
604070219,1,1,5,5,5,5,5,4
604070220,2,1,3,1,2,1,1,1
604070221,4,4,4,1,1,1,1,1
604070222,5,1,4,5,5,5,5,5
604070223,1,1,4,5,2,2,1,3
604070224,3,1,5,5,5,1,1,2
604070225,2,1,4,1,-1,1,2,1
604070226,4,1,4,5,5,5,5,5
604070227,1,1,5,1,1,1,1,5
604070228,2,1,1,1,1,1,1,1
604070229,1,1,4,1,1,1,1,2
604070230,-1,1,5,5,5,5,5,5
604070231,2,1,4,2,5,5,5,5
604070232,1,2,1,1,3,1,1,1
604070233,2,1,2,1,2,1,1,2
604070234,1,2,3,2,2,1,1,1
604070235,1,1,2,1,1,1,1,2
604070236,3,1,4,2,2,1,1,2
604070237,4,1,2,1,4,1,1,1
604070238,1,1,5,1,2,1,1,1
604070239,1,1,1,3,4,5,5,1
604070240,2,2,2,1,2,2,1,1
604070241,4,1,4,2,5,1,1,1
604070242,1,1,1,1,3,1,1,2
604070243,2,1,5,2,5,5,5,2
604070244,1,1,4,4,4,4,2,4
604070245,2,1,1,1,2,1,1,2
604070246,1,1,2,5,5,5,5,1
604070247,1,1,2,1,1,1,1,1
604070248,1,1,1,1,2,2,2,1
604070249,1,1,1,5,5,5,5,1
604070250,1,1,1,2,2,2,2,1
604070251,1,1,2,2,3,3,3,2
604070252,2,1,1,2,2,2,2,2
604070253,1,1,2,2,2,2,2,1
604070254,2,1,1,2,2,2,2,1
604070255,1,1,1,1,1,1,1,1
604070256,1,5,2,1,5,1,1,2
604070257,5,1,1,5,5,5,5,5
604070258,3,1,2,1,5,1,1,2
604070259,1,1,5,5,5,5,5,5
604070260,5,1,1,5,5,5,5,2
604070261,5,2,1,1,5,1,1,2
604070262,1,1,5,5,5,5,5,5
604070263,2,2,5,5,5,2,2,2
604070264,2,1,2,1,5,1,1,3
604070265,1,1,1,5,5,5,5,5
604070266,2,1,5,1,1,1,1,1
604070267,3,1,4,1,5,5,5,1
604070268,1,1,2,1,1,1,1,3
604070269,2,1,4,1,5,5,5,4
604070270,2,1,1,2,5,5,5,2
604070271,1,1,1,1,2,2,2,2
604070272,1,1,4,1,1,1,1,1
604070273,2,2,2,1,5,5,5,2
604070274,1,1,3,1,1,1,2,2
604070275,2,2,2,1,1,1,1,1
604070276,2,1,3,3,3,4,4,3
604070277,1,1,2,1,1,1,1,1
604070278,1,1,3,1,1,1,1,1
604070279,3,2,2,2,1,1,2,2
604070280,1,1,2,2,3,3,3,2
604070281,1,1,1,1,4,1,1,1
604070282,2,1,5,5,5,5,5,5
604070283,1,1,1,4,4,4,4,2
604070284,2,1,3,4,5,5,5,4
604070285,1,4,1,1,3,1,1,1
604070286,2,2,1,1,4,3,5,5
604070287,1,1,4,5,5,5,5,5
604070288,1,1,2,4,5,5,5,2
604070289,1,1,3,5,5,5,2,4
604070290,2,1,1,4,4,4,4,4
604070291,2,1,3,5,5,5,5,5
604070292,1,2,5,5,5,5,5,4
604070293,1,1,3,2,5,3,4,4
604070294,5,1,5,5,5,5,5,5
604070295,2,1,1,5,5,5,5,4
604070296,1,1,2,5,5,5,5,5
604070297,2,1,2,4,5,5,4,4
604070298,2,2,3,5,5,5,5,4
604070299,1,1,1,1,1,1,1,1
604070300,1,1,1,3,3,3,5,4
604070301,2,1,3,4,5,5,5,2
604070302,1,1,2,1,5,2,2,2
604070303,2,1,2,2,5,2,1,1
604070304,2,1,2,2,5,5,5,2
604070305,2,1,3,2,5,2,2,2
604070306,2,1,1,2,2,2,2,1
604070307,1,1,1,5,4,3,2,2
604070308,1,1,1,5,5,5,5,2
604070309,1,1,1,2,2,2,2,1
604070310,2,1,1,2,2,2,2,2
