D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
300070143,4,2,4,4,2,2,2,2,2
300070144,1,1,3,5,1,2,2,1,3
300070145,4,1,5,1,4,4,3,2,2
300070146,2,1,4,3,3,3,2,2,2
300070147,4,3,2,2,4,2,4,3,3
300070148,2,1,3,4,2,2,2,2,2
300070149,1,1,3,5,3,2,3,3,3
300070150,5,5,4,3,5,5,2,3,3
300070151,5,1,2,5,1,1,2,1,1
300070152,5,2,5,2,2,2,3,2,2
300070153,5,3,1,2,2,2,4,2,2
300070154,5,3,4,2,2,3,3,2,3
300070155,4,1,5,5,1,1,1,1,1
300070156,4,2,4,4,3,3,2,1,2
300070157,5,1,5,5,2,4,1,2,1
300070158,5,2,5,4,3,2,1,1,1
300070159,4,2,3,3,3,2,3,2,2
300070160,4,3,5,3,3,2,3,2,3
300070161,4,3,2,2,4,4,3,3,4
300070162,1,3,1,5,3,2,4,3,3
300070163,2,2,2,5,4,3,4,2,2
300070164,4,4,2,-1,2,4,4,3,2
300070165,2,3,3,4,3,2,4,4,3
300070166,3,5,4,5,3,1,3,2,3
300070167,4,4,4,3,4,2,4,4,2
300070168,2,3,3,4,3,3,4,4,3
300070169,4,3,4,5,3,2,3,4,3
300070170,3,2,4,5,4,2,3,3,4
300070171,3,2,4,5,2,2,2,3,4
300070172,2,4,5,5,2,2,5,3,2
300070173,4,5,4,5,3,3,5,4,3
300070174,1,5,3,3,3,2,3,4,2
300070175,4,1,3,5,3,2,4,3,4
300070176,1,2,2,5,3,2,4,4,3
300070177,2,4,5,5,3,4,4,4,2
300070178,1,3,3,3,2,2,4,3,4
300070179,5,2,2,4,3,3,2,2,3
300070180,1,3,4,4,3,1,2,4,3
300070181,3,2,2,-1,3,4,2,3,2
300070182,5,2,4,3,3,2,3,2,3
300070183,4,2,3,3,4,3,3,3,2
300070184,4,3,1,-1,2,4,2,2,2
300070185,5,2,4,3,2,2,4,2,2
300070186,4,2,3,3,3,3,4,2,2
300070187,4,2,3,-1,3,2,2,2,2
300070188,4,2,3,3,4,3,3,2,2
300070189,5,3,4,-1,3,2,2,2,2
