D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
300070079,5.0,1.0,4.0,5.0,2.0,2.0,5.0,2.0,2.0
300070080,5.0,1.0,4.0,5.0,1.0,1.0,5.0,2.0,2.0
300070081,4.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0
300070082,1.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0
300070083,4.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0
300070084,4.0,2.0,5.0,5.0,3.0,1.0,3.0,2.0,2.0
300070085,2.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0
300070086,4.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0
300070087,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0
300070088,5.0,2.0,3.0,5.0,2.0,1.0,3.0,1.0,1.0
300070089,2.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0
300070090,1.0,2.0,2.0,5.0,1.0,2.0,4.0,3.0,3.0
300070091,5.0,1.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0
300070092,5.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,1.0
300070093,5.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,3.0
300070094,5.0,5.0,4.0,-1.0,3.0,2.0,3.0,2.0,2.0
300070095,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0
300070096,4.0,1.0,4.0,5.0,2.0,1.0,3.0,2.0,1.0
300070097,5.0,5.0,5.0,2.0,5.0,5.0,2.0,1.0,1.0
300070098,5.0,2.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0
300070099,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0
300070100,5.0,5.0,5.0,-1.0,2.0,2.0,5.0,1.0,4.0
300070101,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
300070102,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
300070103,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0
300070104,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0
300070105,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0
300070106,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
300070107,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0
300070108,4.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0
300070109,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0
300070110,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0
300070111,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
300070112,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0
300070113,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0
300070114,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0
300070115,2.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
300070116,5.0,1.0,4.0,-1.0,1.0,1.0,1.0,1.0,1.0
300070117,5.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0
300070118,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0
300070119,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
300070120,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0
300070121,5.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,5.0
300070122,2.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0
300070123,1.0,4.0,3.0,5.0,1.0,2.0,1.0,2.0,3.0
300070124,2.0,5.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0
300070125,3.0,1.0,5.0,-1.0,3.0,2.0,3.0,2.0,1.0
300070126,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0
300070127,5.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,3.0
300070128,1.0,1.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0
300070129,3.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0
300070130,1.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0
300070131,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
300070132,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0
300070133,4.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0
300070134,5.0,2.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0
300070135,2.0,2.0,4.0,5.0,4.0,1.0,4.0,3.0,1.0
300070136,5.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0
300070137,2.0,2.0,3.0,5.0,1.0,1.0,2.0,3.0,2.0
300070138,4.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0
300070139,5.0,3.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0
300070140,4.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0
300070141,4.0,1.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0
300070142,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0
300070143,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
300070144,1.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,3.0
300070145,4.0,1.0,5.0,1.0,4.0,4.0,3.0,2.0,2.0
300070146,2.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0
300070147,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0
300070148,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0
300070149,1.0,1.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0
300070150,5.0,5.0,4.0,3.0,5.0,5.0,2.0,3.0,3.0
300070151,5.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0
300070152,5.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0
300070153,5.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0
300070154,5.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0
300070155,4.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0
300070156,4.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0
300070157,5.0,1.0,5.0,5.0,2.0,4.0,1.0,2.0,1.0
300070158,5.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0
300070159,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0
