D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
604070122,2,0,0,0,0,0,0,0,0,0,0
604070123,0,1,0,0,0,0,0,1,0,0,0
604070124,1,0,0,0,0,0,0,0,0,0,0
604070125,0,0,0,0,0,0,0,1,0,0,0
604070126,0,0,0,0,0,0,0,0,0,0,0
604070127,0,0,0,0,0,0,0,0,0,0,0
604070128,0,0,0,0,0,0,0,0,0,0,0
604070129,0,0,0,0,0,0,0,0,0,0,0
604070130,0,0,0,0,0,0,0,0,0,0,0
604070131,0,0,0,0,0,0,0,0,0,0,0
604070132,0,0,0,0,0,0,0,0,0,0,0
604070133,0,0,0,0,0,0,0,0,0,0,0
604070134,0,0,0,0,0,0,2,0,0,0,0
604070135,0,0,0,0,0,0,0,0,0,0,0
604070136,0,0,0,0,0,0,0,0,0,0,0
604070137,0,0,0,0,0,0,0,0,0,0,0
604070138,0,0,0,0,0,0,0,0,0,0,0
604070139,2,0,0,0,0,0,0,0,0,0,0
604070140,0,0,0,0,0,0,0,0,0,0,0
604070141,0,0,0,0,0,0,0,0,0,0,0
604070142,0,0,0,0,0,0,0,0,0,0,0
604070143,0,0,0,0,0,0,0,0,0,0,0
604070144,0,0,0,0,0,0,0,0,0,0,0
604070145,0,0,0,0,0,0,0,0,0,0,0
604070146,1,0,0,0,0,1,0,0,0,0,0
604070147,1,0,0,0,0,0,0,1,0,0,0
604070148,0,0,0,0,0,0,0,1,0,0,0
604070149,0,0,0,0,0,1,0,0,0,0,0
604070150,0,0,0,0,0,0,0,0,0,0,0
604070151,0,0,0,0,0,0,1,0,0,0,0
604070152,1,0,0,0,0,0,1,0,0,0,0
604070153,2,0,0,0,0,0,0,0,0,0,0
604070154,2,0,0,0,0,0,0,0,0,0,0
604070155,0,2,0,0,0,0,0,0,0,0,0
604070156,0,0,0,0,0,0,2,0,0,0,0
604070157,0,0,0,0,0,0,0,0,0,0,0
604070158,2,0,0,0,0,0,1,0,0,0,0
604070159,0,0,0,0,0,0,1,0,0,0,0
604070160,0,0,0,0,0,0,2,0,0,0,0
604070161,2,2,0,0,0,0,0,0,0,0,0
604070162,0,0,0,0,0,0,0,0,0,0,0
604070163,0,2,0,0,0,0,2,1,0,0,0
604070164,1,0,0,0,0,0,0,0,0,0,0
604070165,0,0,0,0,0,0,0,0,0,0,0
604070166,0,2,0,0,0,0,2,2,0,0,1
604070167,1,0,0,0,0,0,0,2,0,0,0
604070168,2,0,0,0,0,0,0,2,0,0,0
604070169,0,1,0,0,0,0,0,0,0,0,0
604070170,0,1,2,0,0,0,0,0,0,0,0
604070171,0,0,0,0,0,0,0,0,0,0,0
604070172,0,0,0,0,0,0,0,0,0,0,0
604070173,1,0,0,0,0,0,2,0,0,0,0
604070174,0,2,0,0,0,0,2,2,0,0,0
604070175,0,0,0,0,0,0,0,0,0,0,0
604070176,0,0,0,0,0,0,0,0,0,0,0
604070177,1,0,0,0,0,0,0,0,0,0,0
604070178,2,0,0,0,0,0,0,0,0,0,0
604070179,1,0,0,0,0,0,0,0,0,0,0
604070180,0,0,0,0,0,0,0,0,0,0,0
604070181,0,0,0,0,0,0,0,0,0,0,0
604070182,1,2,0,0,0,0,0,0,0,0,0
604070183,0,0,0,0,0,0,0,0,0,0,0
604070184,0,0,0,0,0,0,0,0,0,0,0
604070185,0,0,0,0,0,0,0,0,0,0,0
604070186,0,0,0,0,0,0,0,0,0,0,0
604070187,0,0,0,0,0,2,2,1,0,0,0
604070188,0,0,0,0,0,0,0,0,0,0,0
604070189,0,0,0,0,0,0,0,0,0,0,0
604070190,0,0,0,0,0,0,0,0,0,0,0
604070191,1,0,0,0,0,0,0,0,0,0,0
604070192,0,0,0,0,0,0,0,0,0,0,0
604070193,1,0,0,0,0,0,0,0,0,0,0
604070194,0,0,0,0,0,0,0,0,0,0,0
604070195,0,0,0,0,0,0,0,0,0,0,0
604070196,0,2,0,0,0,0,0,0,0,0,0
604070197,0,0,0,0,0,0,0,0,0,0,0
604070198,0,2,0,0,0,0,0,0,0,0,0
604070199,0,0,0,0,0,0,0,0,0,0,0
604070200,0,0,0,0,0,0,0,0,0,0,0
604070201,0,0,0,0,0,0,0,0,0,0,0
604070202,0,0,0,0,0,0,0,0,0,0,0
604070203,0,0,0,0,0,0,0,0,0,0,0
604070204,2,0,0,0,0,0,0,0,0,0,0
604070205,1,0,0,0,0,0,0,0,0,0,0
604070206,0,0,0,0,0,0,0,0,0,0,0
604070207,1,0,0,0,0,0,0,0,0,0,0
604070208,0,0,0,0,0,0,0,0,0,1,0
604070209,0,0,0,0,0,0,0,0,0,0,0
604070210,2,0,0,0,0,0,0,0,0,0,0
604070211,1,0,0,0,0,0,0,0,0,0,0
604070212,0,0,0,0,0,0,0,0,0,0,0
604070213,0,0,0,0,0,0,0,0,0,0,0
604070214,0,0,0,0,0,0,0,0,0,0,0
604070215,0,0,0,0,0,0,0,0,0,0,0
604070216,0,0,0,1,0,0,0,0,0,2,0
604070217,0,0,0,0,0,0,0,0,0,0,0
604070218,0,0,0,0,0,0,0,0,0,1,0
604070219,0,0,0,0,0,0,0,0,0,0,0
604070220,0,0,0,0,0,0,0,0,0,0,0
604070221,0,2,0,0,0,0,2,0,0,0,0
604070222,0,0,0,0,0,0,0,0,0,2,0
604070223,0,0,0,0,0,0,0,0,0,0,0
604070224,1,0,0,0,0,0,0,0,0,0,0
604070225,0,0,0,0,0,0,0,0,0,0,0
604070226,0,0,0,0,0,0,0,0,0,1,0
604070227,0,0,0,0,0,0,0,0,0,0,0
604070228,2,0,0,0,0,0,0,2,0,2,0
604070229,1,0,0,0,0,0,0,0,0,0,0
604070230,0,0,0,0,0,0,0,0,0,0,0
604070231,2,0,0,0,0,0,0,0,0,0,0
604070232,0,0,0,0,0,0,2,2,0,0,0
604070233,1,2,0,0,0,0,0,0,0,0,0
604070234,0,0,0,0,0,0,0,0,0,2,0
604070235,0,0,0,0,0,0,0,0,0,0,0
604070236,0,0,0,0,0,0,0,0,0,0,0
604070237,1,2,0,0,0,0,0,0,0,0,0
604070238,0,0,0,0,0,0,0,0,0,0,0
604070239,2,0,0,0,0,0,0,0,0,0,0
604070240,2,0,0,0,0,0,0,0,0,0,0
604070241,0,0,0,1,0,0,0,0,0,0,0
604070242,0,0,0,0,0,0,0,0,0,0,0
604070243,0,0,0,0,0,0,0,0,0,2,0
604070244,0,0,0,0,0,0,0,0,0,0,0
604070245,0,0,0,0,0,0,0,0,0,0,0
604070246,2,0,0,0,0,0,0,0,0,0,0
