D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
840071079,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071080,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0
840071081,2.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0
840071082,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0
840071083,2.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,1.0
840071084,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0
840071085,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0
840071086,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0
840071087,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0
840071088,4.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0
840071089,4.0,4.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0
840071090,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0
840071091,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0
840071092,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0
840071093,4.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,4.0
840071094,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0
840071095,4.0,4.0,4.0,1.0,5.0,4.0,4.0,2.0,5.0
840071096,3.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0
840071097,4.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0
840071098,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0
840071099,4.0,4.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0
840071100,2.0,-2.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0
840071101,3.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0
840071102,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
840071103,2.0,-1.0,4.0,4.0,5.0,4.0,1.0,1.0,2.0
840071104,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0
840071105,4.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,5.0
840071106,4.0,2.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0
840071107,4.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0
840071108,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0
840071109,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071110,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0
840071111,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0
840071112,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
840071113,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
