D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
840071144,4,4,4,1,5,1,5,1,5
840071145,4,4,4,5,2,3,2,2,3
840071146,3,2,4,3,3,2,2,2,2
840071147,3,3,4,5,3,4,3,3,4
840071148,4,4,3,3,3,2,3,3,3
840071149,4,4,4,1,4,3,3,3,4
840071150,4,4,4,1,2,3,3,2,4
840071151,4,2,4,2,3,1,1,1,4
840071152,3,3,4,4,4,2,3,2,3
840071153,4,4,4,1,1,1,1,1,1
840071154,3,3,4,3,5,3,4,1,3
840071155,4,4,4,3,3,3,3,4,4
840071156,4,2,4,4,4,4,2,1,1
840071157,4,2,4,2,3,4,3,2,4
840071158,3,2,4,3,3,3,2,3,4
840071159,3,2,2,5,3,3,3,3,2
840071160,3,2,3,5,1,2,1,1,1
840071161,4,4,2,4,4,1,1,1,1
840071162,4,4,2,2,4,2,4,2,4
840071163,4,4,3,2,3,2,3,3,3
840071164,4,2,4,1,3,2,4,2,2
840071165,4,3,4,5,2,2,1,3,4
840071166,4,3,2,5,5,3,1,3,1
840071167,2,2,3,3,2,3,1,1,3
840071168,4,3,2,3,3,2,2,2,4
840071169,4,4,3,5,2,2,2,1,4
840071170,3,2,2,2,4,3,4,2,3
840071171,3,2,3,5,2,3,1,2,1
840071172,4,2,3,3,3,2,3,3,2
840071173,3,2,4,3,2,2,3,3,3
840071174,2,2,4,1,1,3,1,2,2
840071175,4,2,4,3,4,3,4,3,4
840071176,4,2,3,2,3,3,3,3,4
840071177,4,3,4,4,5,4,1,2,4
840071178,3,2,4,3,5,5,2,1,3
840071179,4,2,3,3,3,1,1,2,4
840071180,4,2,3,5,2,3,3,2,2
840071181,3,3,3,2,1,4,2,3,2
840071182,4,3,2,3,3,2,4,2,3
840071183,4,2,2,2,2,1,1,1,1
840071184,4,2,3,1,1,1,1,1,1
840071185,4,4,4,1,4,2,1,2,3
840071186,4,4,3,3,5,3,1,1,3
840071187,3,3,4,3,3,2,2,2,2
840071188,4,2,4,1,3,1,1,1,2
840071189,4,2,4,3,2,2,2,1,2
840071190,4,4,4,1,3,2,1,3,4
840071191,4,2,4,2,3,3,4,4,4
840071192,4,3,3,2,4,3,3,3,3
840071193,3,2,4,2,4,4,3,3,3
840071194,3,2,3,1,4,3,4,2,3
840071195,2,3,3,3,3,2,3,3,1
840071196,4,4,4,1,5,2,4,3,3
840071197,4,4,4,1,5,2,5,5,4
840071198,4,2,4,3,5,3,1,3,3
840071199,4,4,4,1,4,2,2,2,4
840071200,4,4,4,3,3,3,2,2,4
840071201,4,2,2,3,3,2,2,2,3
840071202,2,2,3,2,3,1,4,2,1
840071203,4,3,2,2,3,2,5,2,5
840071204,4,2,4,1,2,3,1,2,4
840071205,2,3,2,2,3,1,3,2,1
840071206,4,3,2,3,3,3,2,2,2
840071207,4,4,4,3,4,3,4,2,3
840071208,3,2,4,5,5,3,5,1,5
840071209,4,4,2,1,4,1,4,1,2
840071210,2,3,2,3,3,1,1,2,2
840071211,4,3,2,1,3,2,1,2,3
