D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
484070077,3,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,2
484070078,2,2,2,3,2,2,2,2,3,3,3,2,3,3,3,3,3,2
484070079,2,1,2,2,1,2,1,1,3,3,3,1,2,1,1,2,1,1
484070080,2,3,3,3,4,4,4,4,4,3,2,1,4,3,3,-1,3,4
484070081,2,2,2,3,4,4,4,4,4,4,4,1,4,2,2,3,1,3
484070082,2,2,3,3,3,3,3,4,3,3,3,2,2,2,2,3,2,3
484070083,1,1,3,4,4,4,4,4,4,4,4,3,4,4,3,3,2,4
484070084,2,3,3,4,4,4,4,4,4,4,4,2,4,2,3,2,1,1
484070085,1,1,3,3,3,3,4,4,3,3,3,4,4,3,3,3,1,1
484070086,4,3,3,2,2,4,4,4,4,4,4,4,4,4,4,2,4,3
484070087,2,3,4,2,2,4,2,4,4,4,4,2,4,4,2,2,1,2
484070088,2,4,4,4,4,4,4,4,4,4,4,-1,4,4,-1,4,2,2
484070089,1,1,3,3,-1,2,3,4,4,4,4,1,4,3,1,2,4,4
484070090,1,4,4,2,4,2,2,4,4,4,4,2,4,4,2,2,2,2
484070091,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4
484070092,3,3,4,4,4,3,3,4,2,4,4,2,4,4,4,2,2,2
484070093,3,1,2,3,4,4,2,2,4,1,4,1,2,1,3,3,1,2
484070094,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
484070095,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
484070096,3,3,3,3,4,4,4,4,4,4,4,1,4,1,1,1,3,3
484070097,1,3,4,4,4,4,4,4,4,4,4,3,4,2,3,3,2,4
484070098,2,1,3,3,3,4,1,3,4,4,4,1,4,1,4,4,1,2
484070099,2,2,3,3,3,2,3,3,3,3,3,2,3,2,2,2,2,2
484070100,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2
484070101,3,3,3,3,4,4,4,4,4,4,4,1,4,1,3,3,4,3
484070102,4,2,4,4,4,4,2,4,4,4,4,1,4,1,1,1,4,1
484070103,2,2,2,4,3,3,2,3,3,3,3,2,3,4,2,2,2,3
484070104,1,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3
484070105,1,-1,-1,3,3,4,3,3,4,-1,-1,2,-1,4,3,-1,4,3
484070106,1,1,2,4,2,1,4,2,2,3,2,1,4,2,1,2,2,2
484070107,1,2,2,2,4,4,4,4,4,4,4,2,4,4,4,2,2,2
484070108,3,3,3,4,4,4,4,3,3,3,4,1,3,3,3,3,3,3
484070109,3,2,3,2,2,2,3,3,3,2,2,1,3,2,2,1,1,1
