D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
51070075,1,2,4,4,4,4,4,4,4,4,4,2,4,4,4,-1,4,1
51070076,2,1,3,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2
51070077,1,1,3,3,4,2,2,2,3,3,3,3,4,3,3,3,3,3
51070078,3,4,4,4,4,2,1,4,4,4,4,2,4,2,2,2,2,1
51070079,1,1,3,2,3,3,-1,1,3,2,-1,-1,3,-1,-1,-1,-1,-1
51070080,1,1,3,2,-1,2,2,2,3,3,3,-1,2,2,-1,2,-1,2
51070081,4,3,4,4,4,1,4,3,4,4,4,4,4,1,1,1,-1,1
51070082,2,2,4,4,-1,3,3,3,4,4,3,3,3,-1,2,-1,-1,2
51070083,1,1,3,4,4,3,4,4,3,3,2,3,3,3,3,-1,-1,-1
51070084,1,2,4,4,2,2,2,3,4,4,2,2,4,2,2,2,2,2
51070085,3,1,4,4,3,2,4,1,4,4,2,4,3,4,4,4,4,4
51070086,4,2,4,4,4,2,2,1,-1,2,2,2,2,4,2,4,-1,2
51070087,2,1,4,2,-2,2,-1,3,4,3,2,2,4,2,2,-1,2,2
51070088,3,2,3,3,3,2,2,3,4,3,2,2,3,2,2,2,2,2
51070089,2,2,2,2,3,3,4,4,4,4,4,3,4,-1,4,4,4,4
51070090,1,2,3,3,3,3,4,3,3,4,3,2,3,2,3,2,3,3
51070091,2,1,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,1
51070092,1,3,4,4,4,3,4,4,4,4,3,3,4,4,4,3,-1,4
51070093,2,1,3,3,-2,4,4,4,3,4,3,1,3,2,2,3,-1,2
51070094,1,1,4,3,3,3,3,3,4,3,2,1,2,2,2,2,4,2
51070095,1,1,2,3,3,4,3,3,3,3,3,2,3,-1,3,-1,-1,-1
51070096,1,1,4,4,-1,4,4,2,3,3,3,2,3,3,4,3,3,3
51070097,1,2,2,2,-1,3,3,3,3,3,3,2,3,-1,2,4,4,3
51070098,1,1,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
51070099,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
51070100,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2
51070101,3,1,-1,4,-1,3,2,3,3,3,3,2,2,-1,2,2,3,-1
51070102,3,2,3,3,3,2,3,3,3,3,-1,2,3,3,3,3,3,3
51070103,2,3,4,3,-1,3,3,2,4,4,4,2,2,4,3,2,2,2
51070104,3,3,3,3,2,2,2,3,4,3,2,1,2,1,2,-1,-1,2
51070105,1,1,3,3,2,2,3,1,3,3,1,2,2,2,3,2,-1,2
51070106,2,2,4,2,2,2,4,1,2,2,2,-1,-1,-1,2,2,2,2
51070107,1,1,-1,3,-1,3,3,2,4,2,2,3,3,3,4,-1,-1,3
51070108,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
51070109,1,3,4,3,2,1,3,3,3,3,3,3,4,3,2,2,3,2
51070110,3,3,3,3,3,4,4,2,4,3,2,1,3,3,3,3,3,3
51070111,1,1,3,3,3,3,4,1,3,1,3,1,3,4,1,3,-1,2
51070112,1,1,3,3,4,3,3,2,4,3,3,2,3,4,3,3,4,3
51070113,3,3,4,4,4,3,2,3,4,3,4,3,3,4,3,3,-1,-2
51070114,1,2,3,4,-1,2,4,2,4,2,3,3,2,3,2,2,3,1
51070115,1,3,4,4,-1,4,4,3,3,4,4,3,4,4,3,4,2,2
51070116,2,3,4,4,4,2,4,3,4,4,2,3,3,3,3,3,2,3
51070117,3,1,1,1,4,1,1,4,4,4,4,1,4,4,1,4,4,4
51070118,1,1,4,4,3,1,4,4,4,4,1,1,3,1,1,3,-1,3
51070119,3,2,3,3,3,3,3,4,3,3,2,2,4,2,3,2,2,3
51070120,1,1,3,3,4,4,2,4,2,4,2,2,4,2,2,2,4,2
51070121,2,3,4,3,3,3,3,4,3,3,3,1,3,3,3,3,3,3
51070122,4,3,4,3,3,1,3,3,4,3,4,3,3,4,4,4,4,4
51070123,1,3,3,3,3,2,1,4,3,4,4,3,3,3,3,3,2,3
51070124,2,2,1,1,2,3,3,4,4,3,3,2,3,3,1,3,1,2
51070125,1,1,4,3,3,3,3,4,4,4,2,2,3,2,3,2,3,3
51070126,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,-1,-1,-1
51070127,3,-2,4,2,-1,2,3,-2,4,4,3,3,4,3,1,-1,2,2
51070128,1,3,3,3,-1,2,3,4,4,4,-1,-1,3,-1,-1,-1,-1,-1
51070129,1,2,3,3,3,2,2,2,2,3,3,3,2,3,1,3,2,-2
51070130,4,4,4,2,-1,3,3,3,3,3,3,2,3,3,2,2,-1,3
51070131,2,1,4,4,4,2,4,4,4,4,4,-1,4,4,1,-1,-1,-1
51070132,3,1,4,4,-1,3,4,3,4,4,2,-1,2,2,2,2,2,2
51070133,2,2,3,3,3,2,2,2,3,3,3,2,3,3,2,2,2,2
51070134,3,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3
51070135,1,3,3,4,3,4,4,3,4,4,2,-1,3,1,1,3,1,1
51070136,4,2,3,1,-1,3,4,1,3,1,-1,3,2,3,2,-1,1,1
51070137,2,3,4,3,3,3,3,4,4,4,3,3,4,1,-1,3,2,2
51070138,2,2,3,3,-1,3,3,4,3,3,3,3,3,2,2,2,2,2
51070139,4,3,4,4,4,2,4,2,2,3,-1,-1,1,-1,1,-1,3,3
51070140,1,1,4,4,4,1,2,4,4,4,4,1,4,2,2,3,1,2
51070141,3,3,4,4,2,2,4,4,4,4,4,3,3,4,3,2,3,4
51070142,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3
51070143,1,1,4,4,4,1,3,4,4,4,2,2,2,3,2,2,2,4
51070144,4,4,4,4,4,4,3,4,4,4,2,2,4,2,1,2,2,2
51070145,4,1,4,4,3,3,4,2,3,2,3,3,3,2,4,3,3,3
51070146,1,1,4,4,4,2,2,4,3,3,2,2,4,1,4,2,4,4
51070147,2,2,3,3,3,2,3,4,4,4,3,3,4,2,2,-1,3,3
51070148,2,1,4,4,3,2,2,2,4,2,-1,2,3,2,2,2,2,1
51070149,4,3,4,4,3,4,4,4,4,4,3,3,4,3,2,4,3,2
51070150,3,-1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
