D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
170071029,4,2,2,4,2,2,2,2,2
170071042,3,4,4,5,4,1,1,1,4
170071045,2,2,2,4,2,2,2,1,2
170071046,4,4,4,4,4,1,4,2,4
170071051,4,2,4,4,3,1,1,3,2
170071052,3,5,4,4,4,2,2,4,4
170071053,5,2,4,3,4,2,2,4,4
170071059,1,2,4,4,4,2,2,2,4
170071060,4,1,2,2,2,1,1,1,2
170071061,4,3,3,3,4,2,2,3,3
170071062,4,2,2,2,2,2,2,2,2
170071083,4,1,4,5,2,1,1,1,2
170071092,5,2,2,4,2,2,2,1,1
170071094,5,3,4,2,4,2,2,2,3
170071095,4,4,2,4,2,2,2,2,2
170071096,4,2,2,4,3,2,2,2,3
170071097,4,2,4,4,2,2,2,2,2
170071101,4,1,4,4,5,1,1,1,4
170071104,2,2,2,4,2,2,2,2,2
170071110,4,4,2,4,2,2,2,2,4
170071113,4,2,2,3,4,2,4,4,2
170071124,4,2,4,2,2,2,2,2,4
170071131,4,2,2,4,2,2,2,2,4
170071152,4,1,2,5,4,1,1,4,4
170071153,2,1,1,4,5,1,1,2,1
170071158,4,1,2,4,4,2,2,2,5
170071160,2,2,2,4,2,2,2,2,2
170071163,5,1,5,3,3,3,1,2,4
170071164,4,2,4,2,4,4,4,4,2
170071165,4,2,4,4,4,2,2,1,2
170071166,4,2,2,4,2,2,2,2,2
170071178,3,5,3,4,2,2,2,4,4
170071181,2,2,2,5,4,2,5,1,5
170071187,4,3,4,3,1,2,4,2,5
170071188,5,4,4,4,2,2,1,2,2
170071191,4,1,1,1,1,4,1,4,1
170071216,4,2,1,4,2,2,2,2,1
170071219,1,4,4,5,2,2,4,2,5
170071222,4,4,4,4,2,1,2,1,2
170071225,2,2,2,4,2,2,2,2,2
170071226,4,2,4,3,1,1,1,2,1
170071230,4,2,2,4,2,2,2,2,4
170071231,4,2,2,2,2,2,2,2,2
170071234,3,1,4,3,4,1,2,4,1
170071248,1,1,1,4,2,1,2,1,2
170071249,5,4,4,3,4,2,3,2,4
170071252,4,3,3,5,2,1,1,1,1
170071255,4,2,4,4,3,2,2,2,2
170071258,3,1,4,4,2,2,4,2,2
170071259,4,2,4,4,2,2,2,2,2
170071261,4,2,2,4,2,2,2,2,2
170071263,4,2,4,4,2,2,4,2,2
170071264,2,2,4,4,2,2,2,2,2
170071265,4,1,4,4,2,2,2,2,2
170071276,4,2,4,4,2,2,2,2,2
170071279,4,4,2,2,2,2,2,2,2
170071284,4,4,4,4,5,2,4,2,4
170071296,1,1,1,4,2,1,1,1,4
170071297,4,1,2,2,4,2,1,2,2
170071302,3,5,1,3,2,1,1,2,1
170071303,4,4,2,3,2,2,2,2,2
170071304,2,2,4,5,4,2,2,4,4
170071305,4,1,4,3,2,2,2,3,3
170071306,2,4,2,4,1,1,4,1,4
170071307,4,2,4,4,2,2,2,2,4
170071308,4,4,4,4,4,2,2,2,2
170071309,2,2,2,2,2,2,2,2,2
170071310,4,4,4,4,4,2,2,2,4
170071311,4,2,2,4,4,2,2,2,2
170071313,4,2,2,4,2,2,2,2,2
170071317,4,2,2,4,4,2,2,2,2
170071320,4,4,2,4,2,2,2,2,2
170071327,4,2,2,4,2,2,2,2,4
170071429,4,1,4,2,2,1,2,3,5
170071432,5,2,4,4,4,1,4,2,4
170071433,5,1,4,4,4,1,1,2,2
