D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
170070544,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170070545,3.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0
170070553,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170070558,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0
170070559,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0
170070560,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
170070561,5.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0
170070562,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
170070565,2.0,2.0,1.0,4.0,5.0,1.0,2.0,2.0,2.0
170070585,4.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0
170070593,5.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0
170070598,4.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0
170070601,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
170070621,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
170070626,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0
170070630,1.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0
170070631,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0
170070663,2.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0
170070666,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0
170070669,4.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0
170070672,5.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0
170070673,5.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0
170070676,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170070680,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170070682,3.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0
170070686,4.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0
170070699,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0
170070703,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0
170070704,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170070706,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0
170070723,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170070731,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0
170070734,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170070737,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0
170070749,4.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0
170070750,5.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,3.0
170070751,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0
170070752,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0
170070756,4.0,4.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0
170070760,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0
170070762,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
170070763,4.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0
170070764,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
170070769,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0
170070776,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170070779,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
170070805,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
170070809,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0
170070810,5.0,3.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0
170070836,4.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0
170070856,4.0,2.0,4.0,5.0,4.0,2.0,1.0,2.0,2.0
170070868,1.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0
170070881,4.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0
170070884,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0
170070890,4.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0
170070904,4.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0
170071000,4.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0
170071009,4.0,5.0,5.0,2.0,5.0,1.0,1.0,1.0,2.0
170071010,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170071012,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
170071013,5.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0
170071014,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071018,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0
170071020,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0
170071024,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071029,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071042,3.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,4.0
170071045,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0
170071046,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0
170071051,4.0,2.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0
170071052,3.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0
170071053,5.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0
170071059,1.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0
170071060,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
170071061,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0
170071062,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
170071083,4.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0
170071092,5.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0
170071094,5.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0
170071095,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071096,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0
170071097,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170071101,4.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,4.0
170071104,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071110,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
170071113,4.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0
170071124,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0
170071131,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
170071152,4.0,1.0,2.0,5.0,4.0,1.0,1.0,4.0,4.0
170071153,2.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0
170071158,4.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,5.0
170071160,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071163,5.0,1.0,5.0,3.0,3.0,3.0,1.0,2.0,4.0
170071164,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0
170071165,4.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0
170071166,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071178,3.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0
170071181,2.0,2.0,2.0,5.0,4.0,2.0,5.0,1.0,5.0
170071187,4.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,5.0
170071188,5.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0
170071191,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0
170071216,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0
170071219,1.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,5.0
170071222,4.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0
170071225,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071226,4.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0
170071230,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
170071231,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
170071234,3.0,1.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0
170071248,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0
170071249,5.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0
170071252,4.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0
170071255,4.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0
170071258,3.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0
170071259,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170071261,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170071263,4.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0
170071264,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170071265,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170071276,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
170071279,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
170071284,4.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0
170071296,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0
170071297,4.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0
170071302,3.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0
