D_INTERVIEW,Q165,Q166,Q167,Q168
276070260,2,2,2,2
276070261,1,1,2,2
276070262,1,1,1,1
276070263,1,-1,2,1
276070264,1,1,2,1
276070265,1,1,2,1
276070266,1,1,1,1
276070267,2,2,2,2
276070268,2,-1,2,2
276070269,2,2,2,2
276070270,2,2,2,2
276070271,2,1,2,2
276070272,1,1,1,1
276070273,1,2,2,2
276070274,2,2,2,2
276070275,1,1,1,1
276070276,1,2,2,2
276070277,1,2,2,2
276070278,1,2,2,1
276070279,1,1,1,1
276070280,1,1,1,1
276070281,2,-1,2,2
276070282,1,2,2,2
276070283,1,1,2,1
276070284,2,2,2,2
276070285,1,2,2,2
276070286,2,2,2,2
276070287,2,-1,2,2
276070288,2,2,2,2
276070289,2,2,2,2
276070290,2,1,1,2
276070291,2,1,2,2
276070292,1,2,1,1
276070293,1,1,1,1
276070294,1,1,1,1
276070295,1,1,1,1
276070296,1,1,2,1
276070297,1,-1,-1,-1
276070298,1,1,2,2
276070299,-1,-1,2,2
276070300,2,1,2,2
276070301,2,2,2,2
276070302,1,2,2,2
276070303,1,1,2,2
276070304,1,-1,-1,-1
276070305,1,1,2,1
276070306,1,2,2,2
276070307,1,-2,-2,1
276070308,1,-1,1,1
276070309,-1,2,2,-1
276070310,1,1,2,1
276070311,2,2,2,2
276070312,1,1,2,2
276070313,1,1,2,1
276070314,-1,2,-1,-1
276070315,2,2,2,2
276070316,2,2,2,2
276070317,1,-1,2,2
276070318,2,2,2,2
276070319,-1,-1,2,2
276070320,1,-1,-1,-1
276070321,1,2,2,2
276070322,1,1,2,2
276070323,1,-1,2,1
276070324,-1,-1,2,2
276070325,-1,-1,-1,-1
276070326,2,2,2,2
276070327,1,1,1,1
276070328,1,2,2,2
276070329,2,2,2,2
276070330,1,2,2,2
276070331,1,2,2,1
276070332,-1,-1,-1,-1
276070333,1,2,2,2
276070334,2,2,2,2
276070335,1,2,2,2
276070336,1,-1,2,1
276070337,-1,-1,-1,-1
276070338,1,1,1,1
276070339,1,2,2,2
276070340,2,-1,2,2
276070341,1,-1,2,2
276070342,1,-1,2,-1
276070343,1,1,-1,-1
276070344,1,1,2,2
276070345,2,2,2,2
276070346,2,2,2,2
276070347,1,2,2,2
276070348,1,1,2,2
276070349,1,1,2,2
276070350,2,2,2,2
276070351,-1,-1,-1,-1
276070352,1,1,2,2
276070353,1,1,-1,-1
276070354,1,1,-1,1
276070355,2,2,2,2
276070356,1,1,2,2
276070357,1,2,2,2
276070358,2,2,2,2
276070359,2,2,2,2
276070360,1,-1,-1,-1
276070361,1,1,2,2
276070362,-2,-2,-2,-2
276070363,2,2,2,2
276070364,1,1,2,2
276070365,-2,-2,-2,-2
276070366,1,1,2,1
276070367,1,1,1,1
276070368,2,2,2,2
276070369,2,2,2,2
276070370,2,2,2,2
276070371,2,2,2,2
276070372,1,1,1,1
276070373,-1,2,-1,-1
276070374,1,1,2,1
276070375,1,1,2,2
276070376,2,2,2,2
276070377,2,1,2,2
276070378,2,1,2,1
276070379,-1,-1,2,2
276070380,1,1,1,1
276070381,2,1,2,2
276070382,1,-1,-1,-1
276070383,1,1,2,2
276070384,1,2,2,2
276070385,1,1,2,1
276070386,1,1,2,2
276070387,2,2,2,2
276070388,2,2,2,2
276070389,2,2,2,2
276070390,1,1,1,1
276070391,-1,2,2,2
276070392,2,1,1,1
276070393,2,2,2,2
276070394,2,2,2,2
276070395,-1,-1,2,-1
276070396,1,1,1,1
276070397,2,2,2,2
276070398,1,2,2,2
276070399,1,2,2,2
276070400,1,1,1,1
276070401,1,1,2,1
276070402,1,1,2,2
276070403,1,2,2,2
276070404,1,2,2,2
276070405,1,1,2,2
276070406,2,2,2,2
276070407,2,2,2,2
276070408,2,2,2,2
276070409,1,1,2,2
276070410,1,1,1,1
276070411,1,1,-1,-1
276070412,2,1,2,2
276070413,2,2,2,2
276070414,1,1,1,1
276070415,1,1,2,2
276070416,2,2,2,2
276070417,1,2,2,2
276070418,1,2,2,2
276070419,2,2,2,2
276070420,1,2,2,2
276070421,2,2,2,2
276070422,1,1,1,1
276070423,1,2,2,2
276070424,1,2,2,2
276070425,2,2,2,2
276070426,1,2,2,1
276070427,1,1,1,2
276070428,-1,1,2,2
276070429,2,2,2,2
276070430,2,2,2,2
276070431,2,2,2,2
276070432,2,1,2,2
276070433,2,2,2,2
276070434,1,2,2,2
276070435,2,2,2,2
276070436,1,1,1,1
276070437,1,-1,2,1
276070438,1,1,1,1
276070439,1,-2,-2,-2
276070440,2,2,2,2
276070441,2,2,2,2
276070442,1,1,2,1
276070443,2,2,2,2
276070444,1,2,2,2
276070445,2,2,2,2
276070446,2,2,2,2
276070447,2,2,2,2
276070448,2,2,2,2
276070449,2,2,2,2
