D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
51070001,1.0,1.0,1.0,8.0,1.0,1.0,4.0,1.0,9.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
51070002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51070003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51070004,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
51070005,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,10.0,5.0,10.0,1.0,2.0,2.0,2.0,8.0,1.0,2.0
51070006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51070007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,1.0,10.0
51070008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,1.0
51070009,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
51070010,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
51070011,1.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,8.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
51070012,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
