D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
51070121,1,0,0,0,0,0,0,1,0,0,0
51070122,1,0,0,0,0,1,0,0,0,0,0
51070123,1,1,1,1,0,2,0,0,1,2,0
51070124,2,0,0,0,0,2,0,1,0,2,0
51070125,2,2,2,2,0,2,2,2,0,0,0
51070126,2,1,2,0,0,0,0,0,0,0,0
51070127,0,1,0,0,0,0,0,0,0,0,0
51070128,0,0,0,0,0,0,0,0,0,0,0
51070129,1,0,0,0,0,0,0,0,0,0,0
51070130,0,0,0,0,0,0,0,0,0,0,0
51070131,0,0,0,0,0,0,0,0,0,0,0
51070132,0,0,0,0,0,0,0,0,0,0,0
51070133,0,0,0,0,0,0,0,0,0,0,0
51070134,0,0,0,0,0,0,0,0,0,0,0
51070135,0,0,0,0,0,0,0,0,0,0,0
51070136,0,0,0,0,0,0,0,0,0,0,0
51070137,0,0,0,0,0,0,0,0,0,0,0
51070138,1,0,0,0,0,0,0,0,0,0,0
51070139,1,0,0,0,0,0,0,0,0,0,0
51070140,0,0,0,0,0,0,0,0,0,0,0
51070141,0,0,0,0,0,0,1,1,1,0,1
51070142,0,1,1,0,0,0,0,1,0,0,0
51070143,0,0,0,0,0,2,1,1,0,0,0
51070144,0,2,2,0,0,0,0,0,0,0,0
51070145,0,0,0,0,0,0,0,0,0,0,0
51070146,0,0,0,0,2,0,0,0,0,0,0
51070147,0,0,0,0,0,0,0,2,0,2,0
51070148,0,0,0,0,0,0,0,0,0,0,0
51070149,0,0,0,0,0,0,0,0,0,0,0
51070150,2,0,0,0,0,0,0,0,0,0,0
51070151,0,0,0,0,0,0,0,0,0,1,0
51070152,0,0,0,0,0,0,0,0,0,0,0
51070153,0,0,0,0,0,0,0,0,0,0,0
51070154,1,1,2,0,0,0,-1,1,0,0,0
51070155,0,0,0,0,0,0,0,0,0,0,0
51070156,0,0,0,0,0,0,0,0,0,0,0
51070157,0,0,0,0,0,0,0,0,0,0,0
51070158,0,0,0,0,0,0,0,0,0,0,0
51070159,2,0,0,0,0,0,0,0,0,0,0
51070160,2,0,0,0,0,0,0,0,0,0,0
51070161,2,0,0,0,0,0,0,0,0,0,0
51070162,2,1,1,1,1,2,1,1,1,1,1
51070163,0,0,0,0,0,0,0,0,0,0,0
51070164,1,1,0,1,2,2,2,2,2,2,0
51070165,0,2,0,0,0,0,0,1,0,0,0
51070166,0,2,2,1,1,1,1,1,2,0,0
51070167,0,0,2,0,0,0,0,1,0,0,0
51070168,1,1,2,0,0,1,1,1,0,0,0
51070169,0,0,0,0,0,0,0,0,0,0,0
51070170,2,0,0,0,0,0,0,0,0,0,0
51070171,1,0,0,0,0,0,0,0,0,0,0
51070172,0,0,0,0,0,0,0,0,0,0,0
51070173,0,0,0,0,0,0,0,0,0,0,0
51070174,0,0,0,0,0,0,0,0,0,0,0
51070175,0,0,0,0,0,0,0,1,0,2,0
51070176,1,0,0,0,0,0,0,0,0,0,0
51070177,2,0,0,0,0,0,0,0,0,0,0
51070178,0,0,0,0,0,0,0,0,0,0,0
51070179,2,0,0,0,0,0,0,0,0,0,0
51070180,0,0,0,0,0,0,0,0,0,0,0
51070181,0,0,0,0,0,0,0,0,0,0,0
51070182,0,1,0,0,0,0,0,0,0,0,0
51070183,0,0,0,0,0,0,0,0,0,0,0
51070184,0,0,0,0,0,0,0,0,0,0,0
51070185,0,0,0,0,0,0,0,0,0,0,0
51070186,0,0,0,0,0,0,0,0,0,0,0
51070187,0,0,0,0,0,0,0,0,0,0,0
51070188,0,0,0,0,0,0,0,0,0,0,0
51070189,0,0,0,0,0,0,0,0,0,0,0
51070190,0,0,0,0,0,0,0,0,0,0,0
51070191,0,0,1,0,0,0,0,0,0,0,0
51070192,1,0,2,0,0,0,0,0,0,0,0
