D_INTERVIEW,Q165,Q166,Q167,Q168
300070251,1,1,1,1
300070252,1,-1,-1,-1
300070253,1,2,2,2
300070254,1,1,1,1
300070255,1,2,2,2
300070256,1,1,1,1
300070257,1,1,1,1
300070258,1,-1,-1,-1
300070259,1,1,1,1
300070260,1,-1,-1,-1
300070261,1,1,2,1
300070262,1,1,2,2
300070263,2,2,2,2
300070264,1,1,1,1
300070265,1,1,1,1
300070266,1,2,2,1
300070267,1,2,2,2
300070268,1,1,2,2
300070269,1,2,1,1
300070270,1,1,1,1
300070271,1,2,2,2
300070272,1,1,2,2
300070273,1,2,2,2
300070274,1,1,2,2
300070275,1,1,2,2
300070276,1,1,1,1
300070277,1,2,2,2
300070278,1,1,1,1
300070279,1,1,1,1
300070280,1,1,2,2
300070281,1,2,2,2
300070282,1,2,2,2
300070283,1,1,2,2
300070284,1,1,1,1
300070285,1,2,2,2
300070286,1,1,1,1
300070287,1,2,2,2
300070288,1,2,2,2
300070289,1,2,2,2
300070290,1,2,2,2
300070291,1,1,1,1
300070292,1,1,1,1
300070293,1,1,1,1
300070294,1,1,1,1
300070295,1,1,1,1
300070296,1,1,1,1
300070297,1,1,1,1
300070298,1,1,1,1
300070299,1,1,1,1
300070300,1,1,1,1
300070301,1,2,2,2
300070302,1,1,1,1
300070303,1,2,2,2
300070304,1,2,2,2
300070305,1,2,2,2
300070306,2,2,2,2
300070307,1,2,2,2
300070308,1,1,1,1
300070309,1,2,2,2
300070310,2,2,2,2
300070311,1,1,2,2
300070312,1,2,2,2
300070313,1,1,1,1
300070314,1,2,2,2
300070315,1,1,2,2
300070316,1,1,1,1
300070317,1,2,2,2
300070318,1,2,2,2
300070319,1,2,2,2
300070320,1,1,2,2
300070321,1,2,2,2
300070322,1,1,2,2
300070323,1,2,2,2
300070324,1,2,2,2
300070325,1,-1,-1,-1
300070326,1,2,2,2
300070327,1,1,1,1
300070328,1,1,1,1
300070329,1,2,2,2
300070330,1,2,2,2
300070331,1,2,2,2
300070332,1,2,2,2
300070333,1,2,2,2
300070334,1,1,1,1
300070335,1,2,2,2
300070336,1,2,2,2
300070337,1,1,2,2
300070338,1,2,2,2
300070339,1,1,2,2
300070340,1,1,1,1
300070341,1,1,2,2
300070342,1,2,2,2
300070343,1,2,2,2
300070344,1,2,2,2
300070345,1,1,1,1
300070346,1,2,2,2
300070347,1,2,2,2
300070348,1,1,1,1
300070349,2,-1,-1,-1
300070350,1,2,2,2
300070351,1,1,1,1
300070352,1,1,1,1
300070353,1,2,2,2
300070354,1,1,1,1
300070355,1,1,1,1
300070356,1,1,1,1
300070357,1,2,2,2
300070358,1,2,2,2
300070359,1,1,1,1
300070360,1,1,1,1
300070361,1,1,1,1
300070362,1,1,1,1
300070363,1,2,2,2
300070364,1,1,1,1
300070365,1,1,1,1
300070366,1,1,-1,-1
300070367,2,2,2,2
300070368,1,1,1,1
300070369,1,1,-1,-1
300070370,1,2,2,2
300070371,1,1,1,1
300070372,1,1,1,1
300070373,1,1,1,1
300070374,1,1,1,1
300070375,1,-1,-1,-1
300070376,1,1,1,1
300070377,1,1,1,1
300070378,1,1,1,1
300070379,1,1,1,1
300070380,1,2,2,1
300070381,1,2,2,2
300070382,1,1,2,2
300070383,1,2,1,1
300070384,1,2,2,2
300070385,1,1,1,1
300070386,1,2,2,2
300070387,1,1,1,1
300070388,2,2,2,2
300070389,1,1,1,1
300070390,1,2,2,2
300070391,-2,-2,-2,-2
300070392,-1,-1,2,2
300070393,1,-2,2,2
300070394,1,-1,2,2
300070395,-2,-2,-2,-2
300070396,1,2,2,2
300070397,-2,-2,-2,-2
300070398,-2,-2,-2,-2
300070399,1,1,1,1
300070400,1,2,2,2
300070401,1,2,2,2
300070402,1,2,2,2
300070403,-2,-2,-2,-2
300070404,1,2,2,2
300070405,-2,-2,-2,-2
300070406,1,2,2,2
300070407,1,2,2,2
300070408,1,2,2,2
300070409,1,2,2,2
300070410,-2,-2,-2,-2
300070411,1,1,2,2
300070412,1,2,2,2
300070413,1,2,2,2
300070414,2,2,2,2
300070415,1,2,2,2
300070416,1,2,2,2
300070417,1,2,2,2
300070418,1,2,2,2
300070419,1,2,2,2
300070420,1,1,1,1
300070421,1,2,2,2
300070422,1,1,1,1
300070423,1,2,2,2
300070424,1,1,1,1
300070425,1,1,1,1
300070426,1,2,2,2
300070427,1,2,2,2
300070428,1,1,1,1
300070429,1,1,1,1
300070430,1,1,1,1
300070431,1,1,1,1
300070432,1,1,2,2
300070433,1,2,2,2
300070434,1,1,1,1
300070435,1,-1,2,2
300070436,1,1,1,1
300070437,1,2,2,2
300070438,1,1,1,1
300070439,1,2,2,2
300070440,1,1,-1,-1
300070441,1,2,2,2
300070442,1,1,2,1
300070443,1,2,2,2
300070444,1,2,2,2
300070445,1,1,1,1
300070446,1,1,2,2
300070447,1,2,2,2
300070448,1,1,2,1
300070449,1,1,1,1
300070450,1,1,1,1
300070451,1,1,1,1
300070452,-1,2,2,2
300070453,1,1,1,1
300070454,1,2,2,2
300070455,1,2,2,1
300070456,1,2,2,2
300070457,1,1,1,1
300070458,1,1,1,1
300070459,1,1,1,1
300070460,1,1,1,1
300070461,1,2,1,1
300070462,1,1,1,1
300070463,1,1,1,1
300070464,1,1,1,1
300070465,2,2,2,2
300070466,1,1,1,1
300070467,1,1,1,1
300070468,1,1,1,1
300070469,1,1,1,1
300070470,1,1,1,1
300070471,1,1,1,1
300070472,1,1,1,1
300070473,1,1,1,1
300070474,1,1,1,1
300070475,1,1,1,1
300070476,1,1,1,1
300070477,1,1,1,1
300070478,1,1,1,1
300070479,1,2,1,1
300070480,1,1,1,1
300070481,1,1,1,1
300070482,1,1,1,1
300070483,1,1,1,1
300070484,2,2,2,2
300070485,1,1,1,1
300070486,1,1,1,1
300070487,1,1,1,1
300070488,1,1,1,1
300070489,1,1,1,1
300070490,1,1,1,1
300070491,1,1,1,1
300070492,1,1,1,1
300070493,1,1,1,1
300070494,1,1,1,2
300070495,1,1,1,1
300070496,1,1,1,1
300070497,1,1,1,1
300070498,1,1,1,1
300070499,1,1,1,1
300070500,1,1,1,1
300070501,2,2,2,2
300070502,1,2,2,2
300070503,1,1,1,1
300070504,1,2,2,2
300070505,1,1,1,1
300070506,1,1,1,1
300070507,1,1,1,1
300070508,1,2,2,2
300070509,1,1,1,1
300070510,1,1,1,1
300070511,1,2,2,2
300070512,1,2,2,2
300070513,1,2,2,2
300070514,1,2,2,2
300070515,1,2,2,2
300070516,1,2,2,2
300070517,1,2,2,2
300070518,1,2,2,2
300070519,1,2,2,2
300070520,1,2,2,2
300070521,1,1,1,1
300070522,1,2,2,2
300070523,1,1,1,1
300070524,1,1,1,1
300070525,1,2,2,2
300070526,1,1,1,1
300070527,1,1,2,2
300070528,1,1,2,2
300070529,1,1,1,1
300070530,1,2,2,2
300070531,1,1,1,1
300070532,1,1,1,1
300070533,1,1,1,1
300070534,1,1,1,1
300070535,1,1,1,1
300070536,1,1,1,1
300070537,1,1,1,1
300070538,1,1,1,1
300070539,1,1,1,1
300070540,1,1,1,1
300070541,1,2,2,2
300070542,1,1,2,2
300070543,1,1,1,1
300070544,1,-1,2,2
300070545,1,1,1,1
300070546,1,1,1,1
300070547,1,1,1,1
300070548,1,1,1,1
300070549,1,2,2,2
300070550,1,1,2,1
300070551,1,2,2,2
300070552,1,1,1,1
300070553,1,2,2,2
300070554,1,1,1,1
300070555,1,1,1,1
300070556,1,2,2,2
300070557,1,1,1,1
300070558,1,1,1,1
300070559,1,2,2,2
300070560,1,1,1,1
300070561,1,2,1,1
300070562,1,2,2,2
300070563,1,2,2,2
300070564,1,1,1,1
300070565,1,1,1,1
300070566,1,1,1,1
