D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
604070174,3,3,3,3,4,3,3
604070175,3,2,4,4,3,3,3
604070176,4,4,4,4,4,4,4
604070177,4,4,4,4,4,4,4
604070178,4,4,4,4,4,4,4
604070179,3,4,4,4,4,4,4
604070180,3,3,4,4,4,4,4
604070181,4,4,4,4,4,4,4
604070182,4,4,4,4,4,4,4
604070183,3,4,4,4,3,3,4
604070184,4,4,4,4,4,4,4
604070185,4,4,4,4,4,4,4
604070186,2,3,4,4,3,3,3
604070187,2,2,4,3,2,2,3
604070188,3,1,4,4,4,2,1
604070189,2,1,-1,4,4,1,1
604070190,3,2,4,4,2,3,3
604070191,2,3,4,2,2,3,2
604070192,3,2,3,1,1,1,1
604070193,2,3,4,2,2,2,2
604070194,2,2,3,2,2,2,2
604070195,1,1,3,1,1,1,1
604070196,2,3,4,3,3,3,3
604070197,3,1,4,4,2,4,4
604070198,2,2,4,3,3,4,2
604070199,3,2,4,2,2,3,2
604070200,2,1,4,3,2,2,3
604070201,3,3,3,4,3,3,-1
604070202,2,2,-1,4,2,2,2
604070203,1,1,1,2,2,1,2
604070204,3,3,3,3,3,3,3
604070205,2,2,2,2,2,2,2
604070206,3,3,3,3,3,3,3
604070207,2,3,4,3,3,2,3
604070208,3,2,3,2,3,3,2
604070209,3,2,3,3,3,2,3
604070210,3,4,3,3,4,4,4
604070211,1,2,2,2,1,2,2
604070212,2,3,3,2,2,2,2
604070213,3,3,4,3,3,4,3
604070214,3,3,3,3,3,3,3
604070215,3,4,3,2,3,3,3
604070216,3,1,4,4,2,3,4
604070217,1,1,3,3,1,1,1
604070218,1,2,3,3,2,2,2
604070219,3,2,4,4,2,2,2
604070220,3,3,3,3,3,3,3
604070221,2,2,4,2,3,3,2
604070222,1,1,4,4,2,3,-1
604070223,2,3,4,4,4,2,4
604070224,2,1,4,4,2,2,4
604070225,1,1,3,4,2,2,3
604070226,3,3,4,4,4,3,3
604070227,3,1,3,3,2,3,3
604070228,2,2,4,4,3,2,2
604070229,2,2,3,3,3,3,3
604070230,2,2,4,4,2,3,3
604070231,3,2,4,4,2,3,2
604070232,1,1,4,4,1,1,1
604070233,3,2,3,3,3,3,3
604070234,1,1,3,4,2,2,3
604070235,1,1,3,1,2,1,3
604070236,2,2,4,4,4,3,3
604070237,2,2,2,2,2,2,2
604070238,2,2,4,4,4,3,4
604070239,2,2,4,4,3,4,4
604070240,2,2,4,3,4,3,4
604070241,3,1,4,4,2,3,4
604070242,2,2,3,3,2,2,3
604070243,3,3,4,4,3,4,4
604070244,2,2,4,3,2,2,4
604070245,2,1,4,4,2,2,3
604070246,3,4,4,3,4,3,3
604070247,2,2,4,2,2,2,2
604070248,2,2,4,3,3,3,3
604070249,2,3,4,3,4,4,4
604070250,2,2,4,3,3,2,3
604070251,2,3,4,3,3,3,4
604070252,2,3,4,3,3,3,3
604070253,2,3,4,3,3,3,3
604070254,2,3,4,3,3,3,3
604070255,2,2,4,3,3,3,3
604070256,2,2,3,3,-1,-1,3
604070257,3,4,4,4,4,3,4
604070258,3,2,3,4,-1,3,3
604070259,3,2,4,2,2,2,3
604070260,3,3,3,3,1,2,3
604070261,2,2,3,3,1,2,3
604070262,1,1,3,3,1,2,2
604070263,3,2,4,4,2,2,2
604070264,3,2,4,2,2,2,2
604070265,2,2,3,3,2,2,3
604070266,1,1,3,3,1,1,1
604070267,3,1,3,3,1,1,1
604070268,2,2,3,3,3,3,3
604070269,1,1,4,1,1,1,1
604070270,1,3,3,3,2,2,2
604070271,3,3,4,3,3,3,3
604070272,2,2,2,3,2,2,2
604070273,2,3,3,3,2,2,2
604070274,1,1,4,2,2,2,2
604070275,2,2,2,2,3,3,2
604070276,1,3,2,3,3,3,3
604070277,3,3,4,4,3,3,3
604070278,2,2,3,2,2,2,2
604070279,1,1,3,-1,2,2,2
604070280,1,2,2,2,2,1,1
604070281,2,2,3,3,-1,3,3
604070282,1,2,-1,4,2,3,-1
604070283,2,3,3,4,3,3,4
604070284,2,2,4,4,3,3,-1
604070285,2,2,3,2,3,3,3
604070286,1,1,3,2,1,1,1
604070287,1,1,3,-1,2,1,2
604070288,1,1,4,3,1,1,-1
604070289,2,2,3,3,3,3,2
604070290,1,1,3,2,-1,1,1
604070291,2,2,-1,-1,-1,3,3
604070292,2,4,-1,4,4,4,4
604070293,2,2,3,2,2,1,1
604070294,3,3,4,3,4,4,4
604070295,2,1,-1,4,3,1,2
604070296,2,1,-1,3,3,2,3
604070297,2,2,4,4,3,4,1
604070298,1,2,-1,4,4,4,3
604070299,2,2,-1,2,1,1,1
604070300,3,3,4,3,4,3,4
604070301,4,2,4,3,4,4,4
604070302,3,2,4,3,3,3,3
604070303,2,1,4,2,4,2,2
604070304,3,2,4,4,4,3,4
604070305,3,1,4,4,4,4,4
604070306,3,3,4,4,-1,-1,3
604070307,3,3,4,4,-1,-1,-1
604070308,2,2,3,4,4,-1,-1
604070309,2,2,3,3,-1,-1,-1
604070310,2,3,3,4,-1,-1,-1
604070311,2,4,4,4,4,2,4
604070312,2,4,4,4,3,2,4
604070313,2,4,4,4,3,3,4
604070314,3,4,4,4,3,3,4
604070315,2,4,4,4,3,3,4
604070316,1,1,4,4,1,1,3
604070317,2,2,4,4,4,3,4
604070318,2,4,4,4,3,3,4
604070319,1,2,-1,4,4,4,-1
604070320,4,2,-1,4,4,4,4
604070321,1,1,3,2,-1,2,-1
604070322,2,2,4,3,2,2,2
604070323,2,2,4,4,2,2,4
604070324,2,1,3,3,2,1,1
604070325,4,1,4,4,2,3,3
604070326,2,2,4,3,2,4,3
604070327,1,1,3,3,3,3,4
604070328,2,2,4,2,2,2,2
604070329,2,2,4,3,2,3,3
604070330,1,1,4,3,1,1,1
604070331,2,2,4,3,2,1,2
604070332,1,2,4,4,2,3,3
604070333,4,3,-1,4,3,2,3
604070334,3,2,4,4,2,2,1
604070335,3,2,-1,3,2,2,3
604070336,2,2,3,3,2,2,3
604070337,1,1,3,3,1,2,2
604070338,2,1,3,2,2,1,3
604070339,1,1,4,4,2,1,1
604070340,2,2,3,3,2,1,4
604070341,2,2,4,-1,3,4,-1
604070342,2,3,4,4,-1,3,4
604070343,2,2,4,4,3,3,-1
604070344,3,3,4,4,2,3,-1
604070345,3,3,4,-1,3,3,4
604070346,3,2,4,4,2,2,4
604070347,2,2,4,4,2,4,4
604070348,3,2,4,4,3,3,4
604070349,2,2,3,3,2,2,3
604070350,3,4,4,4,3,4,4
604070351,3,3,4,4,4,4,4
604070352,2,2,4,4,2,3,4
604070353,3,4,3,4,2,3,4
604070354,3,3,4,4,4,4,4
604070355,3,3,4,4,3,3,4
604070356,3,2,4,4,2,2,4
604070357,3,2,4,3,3,2,3
604070358,1,1,4,3,4,2,3
604070359,2,1,4,3,4,2,3
604070360,3,1,4,3,4,4,3
604070361,1,3,4,4,2,4,4
604070362,3,2,4,4,3,4,4
604070363,2,2,4,4,4,2,2
604070364,1,1,1,1,1,1,1
604070365,1,1,4,3,4,3,2
604070366,2,1,4,3,3,2,3
604070367,3,3,4,4,4,4,4
604070368,2,3,4,4,4,4,4
604070369,3,2,3,4,3,3,3
604070370,2,3,3,3,2,2,2
604070371,3,3,3,3,3,3,3
604070372,1,2,3,1,2,3,4
604070373,2,1,3,1,2,3,1
604070374,1,3,3,4,4,3,4
604070375,3,2,4,4,-2,3,4
604070376,3,2,4,4,4,4,3
604070377,2,2,3,3,1,2,1
604070378,3,4,4,4,3,3,4
604070379,2,3,3,3,2,3,3
604070380,3,2,4,4,3,3,3
604070381,3,2,4,4,3,3,4
604070382,2,2,-1,-1,2,2,3
604070383,2,2,2,2,1,2,2
604070384,2,2,2,2,2,1,2
604070385,1,1,1,4,1,1,1
604070386,1,2,3,2,1,2,2
604070387,3,3,3,2,2,3,2
604070388,2,2,3,1,1,1,1
604070389,2,2,3,2,2,2,2
604070390,1,1,4,1,1,1,1
604070391,3,4,3,3,4,3,4
604070392,3,2,3,3,4,3,3
604070393,2,2,2,3,4,3,3
604070394,3,3,3,4,3,3,3
604070395,3,3,3,4,3,3,3
604070396,3,4,3,3,4,3,3
604070397,2,3,3,3,1,3,2
604070398,3,4,4,4,4,4,4
604070399,3,3,4,3,4,3,3
604070400,3,3,4,4,4,4,3
604070401,3,1,4,4,-1,2,3
604070402,2,2,-1,4,4,2,4
604070403,4,1,4,4,4,1,3
604070404,3,2,4,-1,-1,2,-1
604070405,2,2,-1,-1,-1,2,-1
604070406,3,3,4,4,4,2,3
604070407,3,1,4,4,-1,2,3
604070408,3,2,4,4,4,2,3
604070409,2,1,4,4,4,1,2
604070410,3,2,-1,-1,-1,2,-1
604070411,1,1,4,4,4,4,4
604070412,3,1,-1,3,4,3,3
604070413,4,2,4,4,4,4,4
604070414,3,3,3,3,3,3,3
604070415,3,3,3,3,4,4,3
604070416,3,4,4,4,4,4,3
604070417,3,2,4,4,-1,-1,-1
604070418,3,3,3,3,4,3,3
604070419,3,3,4,4,4,4,4
604070420,3,2,4,4,3,3,3
604070421,3,3,3,2,3,3,2
604070422,4,3,4,4,4,3,4
604070423,3,3,3,3,3,3,2
604070424,4,3,4,3,4,3,3
604070425,3,2,3,3,4,2,3
604070426,4,4,4,4,4,4,4
604070427,4,3,3,3,4,3,4
604070428,2,1,3,3,3,3,1
604070429,3,3,4,4,3,3,2
604070430,4,3,4,4,4,4,4
604070431,3,3,4,4,4,2,4
604070432,3,3,3,3,4,4,4
604070433,3,3,-1,4,4,3,4
604070434,3,2,2,2,4,2,3
604070435,4,4,4,4,4,4,4
604070436,2,2,3,3,2,2,2
604070437,2,2,3,3,2,2,2
604070438,1,1,4,2,1,1,1
604070439,2,2,3,3,1,1,2
604070440,2,2,2,2,2,2,2
604070441,3,3,3,4,3,3,2
604070442,4,2,3,4,2,2,3
604070443,3,1,3,3,3,3,1
604070444,2,1,3,2,1,2,1
604070445,3,2,4,3,2,3,3
604070446,3,3,4,4,2,2,3
604070447,2,1,3,3,3,3,3
604070448,2,2,2,3,4,2,3
604070449,3,3,4,3,3,3,3
604070450,2,3,2,4,3,4,3
604070451,4,3,4,4,4,4,4
604070452,2,2,4,4,4,4,2
604070453,4,3,4,4,3,4,4
604070454,4,3,4,4,4,4,4
604070455,3,3,4,4,4,4,4
604070456,2,2,4,4,4,1,3
604070457,3,2,4,4,4,3,4
604070458,3,2,3,3,4,3,3
604070459,1,1,2,4,2,1,1
604070460,3,2,3,3,4,3,3
604070461,1,1,4,2,4,1,4
604070462,3,2,4,3,3,3,3
604070463,2,2,3,3,3,2,2
604070464,2,2,3,2,3,2,2
604070465,3,3,4,3,4,4,4
604070466,2,1,-2,2,4,2,4
604070467,3,3,4,4,4,4,4
604070468,3,2,4,4,4,3,4
604070469,4,4,4,4,4,4,4
604070470,1,2,4,3,4,2,4
604070471,3,4,3,4,4,3,3
604070472,3,3,3,4,4,4,4
604070473,4,4,4,4,4,4,4
604070474,3,4,3,4,4,4,4
604070475,3,1,1,2,1,1,1
604070476,3,2,4,4,4,3,3
604070477,4,3,4,4,4,4,4
604070478,3,4,4,4,4,4,4
604070479,4,4,4,4,4,4,4
604070480,4,4,4,4,4,4,4
604070481,4,4,4,4,4,4,4
604070482,4,3,4,4,4,4,4
604070483,4,4,4,4,4,4,4
604070484,4,3,4,4,4,4,4
604070485,4,3,4,4,4,4,4
604070486,4,4,4,4,4,4,4
604070487,4,3,-1,-1,4,4,-1
604070488,3,4,4,3,4,3,4
604070489,3,3,4,4,4,4,4
604070490,3,4,4,4,3,4,4
604070491,4,4,4,4,4,4,4
604070492,3,4,4,4,4,4,4
604070493,3,4,4,4,4,4,4
604070494,3,4,4,4,4,4,4
604070495,3,4,4,4,4,4,4
604070496,2,2,4,4,4,3,3
604070497,4,3,4,4,4,4,4
604070498,3,4,4,4,4,4,4
604070499,3,3,4,4,4,3,4
604070500,3,3,4,4,4,4,4
604070501,3,3,4,4,4,3,3
604070502,3,4,4,3,4,4,4
604070503,1,1,4,1,1,1,1
604070504,3,3,3,4,4,3,4
604070505,3,2,4,4,4,3,4
604070506,3,2,3,4,4,4,4
604070507,2,2,3,3,2,2,2
604070508,3,3,3,4,-1,4,3
604070509,3,1,3,3,3,3,3
604070510,3,4,4,4,4,4,4
604070511,2,2,4,2,4,4,4
604070512,4,1,4,4,4,4,4
604070513,2,2,4,3,3,2,2
604070514,4,3,3,4,4,4,4
604070515,3,3,4,4,4,3,4
604070516,2,2,4,4,2,2,2
604070517,3,2,2,3,2,2,2
604070518,1,1,4,3,1,1,2
604070519,2,2,4,4,4,3,4
604070520,2,3,4,4,4,3,4
604070521,4,3,4,3,3,3,4
604070522,3,4,3,3,4,3,3
604070523,3,3,2,3,4,4,3
604070524,2,2,3,3,2,3,3
604070525,2,1,4,4,3,2,4
604070526,3,3,4,4,4,4,4
604070527,4,2,4,4,4,4,4
604070528,3,2,4,4,4,4,4
604070529,3,3,4,4,3,3,3
604070530,3,3,4,3,4,3,3
604070531,3,3,4,4,3,3,4
604070532,3,1,4,4,4,1,4
604070533,2,2,4,2,3,3,2
604070534,2,2,2,2,4,2,3
604070535,2,2,2,1,2,2,-1
604070536,2,2,2,3,2,3,3
604070537,2,2,2,2,2,2,3
604070538,2,2,2,3,3,4,4
604070539,2,2,2,2,2,2,2
604070540,2,2,2,3,3,2,2
604070541,3,3,3,2,4,2,4
604070542,2,2,4,3,3,2,4
604070543,1,1,3,4,1,1,1
604070544,1,1,2,3,3,2,2
604070545,1,1,2,-1,2,2,-1
604070546,3,3,4,4,4,4,4
604070547,2,2,-1,4,4,3,4
604070548,3,2,4,3,3,3,4
604070549,3,2,3,3,3,3,3
604070550,4,4,4,3,3,4,4
604070551,3,3,4,4,3,3,4
604070552,4,4,4,4,4,4,4
604070553,1,2,4,-1,-1,3,3
