D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
170071276,1,3,3,3,4,3
170071279,2,2,3,3,2,3
170071284,2,2,2,3,2,4
170071296,4,4,4,4,4,4
170071297,3,4,3,4,4,4
170071302,2,3,3,4,4,4
170071303,1,3,2,4,2,4
170071304,1,2,4,4,2,3
170071305,2,3,3,4,3,3
170071306,1,2,2,4,2,4
170071307,1,2,2,2,2,2
170071308,2,3,2,3,2,3
170071309,1,1,1,1,1,1
170071310,3,3,3,3,3,3
170071311,1,2,2,2,2,2
170071313,1,2,2,3,4,2
170071317,2,3,2,2,2,2
170071320,3,4,2,4,4,4
170071327,2,2,3,3,3,3
170071429,1,2,3,3,2,3
170071432,1,2,1,4,4,4
170071433,1,1,1,1,1,3
170071444,2,4,4,4,4,4
170071448,2,4,4,4,4,4
170071454,1,2,2,4,2,4
170071463,1,4,3,4,3,4
170071472,2,3,2,3,2,3
170071473,1,1,3,4,4,4
170071474,1,4,2,4,4,4
170071481,1,3,2,3,3,3
170071484,3,3,3,3,3,3
170071491,2,3,3,4,4,3
170071494,2,3,2,3,2,2
170071495,2,3,3,3,4,4
170071496,2,3,3,3,3,4
170071497,1,1,1,2,2,2
170071504,1,1,1,3,1,3
170071505,4,4,4,4,4,4
170071506,1,4,4,4,3,4
170071513,2,3,3,3,3,3
170071514,4,4,4,4,4,4
170071515,4,4,4,4,4,4
170071516,1,2,1,3,3,3
170071517,2,2,4,4,2,2
170071525,1,4,2,3,3,3
170071527,1,2,2,3,2,2
170071528,1,2,1,2,2,2
170071530,1,4,4,4,4,4
170071532,2,3,2,4,3,2
170071533,1,3,2,3,4,2
170071534,1,3,3,4,4,4
170071537,2,3,3,4,3,4
170071541,1,2,2,3,2,3
170071543,2,4,4,4,2,3
170071547,1,1,4,4,4,4
170071552,1,1,2,4,3,3
170071556,1,3,3,4,3,3
170071558,1,2,3,3,3,3
170071559,3,3,3,3,4,3
170071566,2,3,4,4,4,4
170071573,1,2,4,4,4,4
170071586,1,2,1,3,4,3
170071589,1,3,2,3,3,3
170071594,1,2,3,4,2,3
170071602,1,3,3,4,3,3
