D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
51070158,2,0,0,0,0,0,0,0
51070159,0,2,0,0,0,0,0,0
51070160,0,0,2,0,0,2,0,0
51070161,2,0,0,0,0,0,0,2
51070162,0,0,2,0,0,2,0,0
51070163,0,0,0,0,0,0,0,0
51070164,2,2,2,2,2,0,2,2
51070165,2,2,0,0,0,2,0,0
51070166,0,2,0,2,0,0,0,0
51070167,2,0,0,2,2,2,2,2
51070168,2,2,2,2,2,2,2,2
51070169,0,0,2,2,2,2,2,2
51070170,2,2,1,0,2,0,2,2
51070171,2,2,2,2,0,0,0,0
51070172,2,2,2,2,2,2,2,2
51070173,2,2,0,0,0,2,0,0
51070174,0,1,1,2,1,0,0,0
51070175,2,2,2,2,2,2,2,2
51070176,0,0,2,2,2,1,2,2
51070177,2,2,0,2,2,2,2,2
51070178,2,2,2,2,2,2,2,2
51070179,2,2,2,2,2,0,2,2
51070180,2,1,0,1,2,2,2,2
51070181,0,2,1,2,2,0,2,2
51070182,0,0,2,2,2,2,2,2
51070183,2,2,1,0,2,2,2,2
51070184,0,0,0,0,0,2,0,0
51070185,2,2,0,0,0,2,0,0
51070186,2,1,2,0,2,0,2,2
51070187,0,2,2,2,2,2,2,2
51070188,0,2,0,2,0,2,0,2
51070189,0,0,2,0,0,0,2,2
51070190,2,2,0,0,0,0,0,0
51070191,0,2,2,2,2,2,2,2
51070192,2,2,2,0,2,2,2,2
51070193,2,2,0,0,0,2,0,0
51070194,2,1,1,1,2,1,0,1
51070195,0,0,0,0,0,0,0,0
51070196,0,0,0,0,0,0,2,1
51070197,0,1,2,0,2,2,1,0
51070198,2,2,2,2,2,2,2,2
51070199,2,2,2,1,2,2,0,0
51070200,0,2,2,2,0,0,2,2
51070201,0,2,0,1,0,2,0,0
51070202,2,2,2,2,2,2,2,2
51070203,0,0,2,0,2,0,2,2
51070204,0,0,2,0,0,0,0,0
51070205,2,2,2,2,2,0,2,2
51070206,2,2,2,2,2,0,2,2
51070207,0,2,0,0,0,0,2,2
51070208,2,2,2,2,2,2,2,2
51070209,0,1,0,1,2,1,2,1
51070210,2,0,2,1,2,2,0,1
51070211,0,0,0,0,1,0,2,2
51070212,0,0,2,2,2,0,2,2
51070213,2,2,1,0,2,2,2,2
51070214,0,0,2,2,0,0,2,2
51070215,2,0,2,2,0,0,2,2
51070216,2,2,2,0,2,2,2,2
51070217,2,2,1,2,0,0,2,2
51070218,2,2,2,2,2,0,0,2
51070219,1,0,2,0,2,1,2,1
51070220,0,2,2,1,2,0,2,2
51070221,0,1,2,2,2,1,2,2
51070222,2,2,0,1,0,2,0,0
51070223,2,2,2,0,0,2,2,2
51070224,2,2,2,2,2,2,2,2
51070225,1,1,1,2,1,1,2,1
51070226,2,2,2,2,2,1,2,2
51070227,0,0,2,1,2,0,2,1
51070228,2,0,0,0,0,2,0,0
51070229,2,1,2,2,2,2,2,2
51070230,2,2,2,2,2,0,2,2
51070231,2,2,0,2,0,1,2,2
51070232,2,2,0,1,1,0,0,2
51070233,2,2,1,1,1,2,1,1
51070234,2,2,0,2,0,2,2,2
51070235,2,2,2,2,2,2,2,2
51070236,0,2,2,2,2,0,2,2
51070237,2,2,0,2,0,0,0,1
51070238,2,2,0,2,0,2,0,0
51070239,0,2,2,1,2,0,2,1
51070240,2,2,2,2,2,1,2,2
51070241,2,0,2,2,2,0,2,2
51070242,1,0,2,1,2,0,2,2
51070243,2,2,0,1,2,0,0,0
51070244,2,2,2,2,2,0,2,2
51070245,2,2,0,2,0,2,0,0
51070246,2,2,0,2,0,2,0,2
51070247,1,2,1,2,2,2,2,2
51070248,0,0,2,2,2,2,2,2
51070249,1,2,2,1,2,0,2,2
51070250,2,0,0,1,1,1,1,1
51070251,0,0,2,2,2,2,2,2
