D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
604070078,3,1,3,3,3,2,3,3,4,3,4,4,-1,3,4,4,-1,4
604070079,3,2,3,3,2,3,3,3,3,3,2,3,3,2,2,2,2,3
604070080,2,3,4,4,4,4,4,3,4,-1,4,3,2,3,4,4,3,4
604070081,2,1,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,2
604070082,2,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3
604070083,1,3,4,2,4,4,4,4,4,4,4,1,4,4,2,4,3,3
604070084,1,3,4,4,4,3,4,3,4,4,4,3,4,3,3,3,4,3
604070085,3,1,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3
604070086,2,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3
604070087,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3
604070088,1,3,3,3,3,4,4,4,4,3,4,3,4,2,2,2,3,3
604070089,2,4,3,3,3,3,4,4,4,4,4,2,4,1,2,2,1,2
604070090,2,3,2,3,3,4,4,4,4,4,4,3,4,3,4,-1,4,-1
604070091,1,3,2,2,4,3,3,3,4,4,4,3,4,4,4,4,4,3
604070092,3,2,2,2,4,3,4,3,4,4,4,4,4,4,4,3,4,3
604070093,2,2,2,2,-1,2,4,4,4,4,4,-1,4,3,3,3,2,3
604070094,2,2,3,3,3,3,4,3,4,4,4,3,4,2,3,2,2,3
604070095,3,3,2,3,3,2,3,3,4,4,4,2,3,3,3,3,2,2
604070096,4,3,4,4,4,2,3,3,4,4,4,2,3,4,4,4,4,4
604070097,2,2,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3
604070098,3,4,3,3,4,2,4,4,4,4,4,3,4,3,3,3,3,3
604070099,1,4,4,4,4,4,4,4,4,4,4,4,4,4,-1,-1,-1,-1
604070100,2,2,2,2,-1,2,3,3,4,4,4,4,4,4,4,3,3,3
604070101,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3
604070102,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,2,2
