D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
170071095,1,1,1,1,1,1,1,1
170071096,1,2,5,1,3,1,1,1
170071097,4,4,4,1,2,1,1,1
170071101,5,5,5,2,5,1,1,1
170071104,2,1,1,4,5,5,5,1
170071110,1,1,1,4,4,4,5,1
170071113,5,1,1,1,1,1,1,1
170071124,2,5,1,1,4,4,4,1
170071131,2,1,4,1,1,1,1,1
170071152,2,1,4,5,5,5,5,4
170071153,2,1,3,1,1,1,3,5
170071158,5,1,5,2,5,1,1,1
170071160,2,1,1,1,5,5,5,2
170071163,5,1,5,1,1,1,1,2
170071164,5,2,5,1,2,3,1,1
170071165,1,2,2,1,1,1,1,2
170071166,1,1,4,1,4,3,1,1
170071178,2,2,2,1,3,2,4,1
170071181,4,1,1,1,1,1,1,1
170071187,2,1,4,1,1,1,1,1
170071188,5,1,1,5,5,5,5,3
170071191,3,2,2,2,2,2,2,2
170071216,1,1,1,2,3,2,5,5
170071219,3,1,2,1,3,5,1,1
170071222,1,1,2,1,5,5,5,1
170071225,5,1,1,5,5,3,3,3
170071226,1,1,1,1,4,1,1,1
170071230,1,1,1,1,3,1,3,2
170071231,1,1,5,1,1,1,1,1
170071234,1,1,5,1,5,1,1,1
170071248,2,1,2,1,1,1,1,1
170071249,5,3,5,1,1,1,1,1
170071252,5,1,2,1,1,1,1,1
170071255,5,1,4,1,4,1,1,2
170071258,4,1,2,1,5,5,5,2
170071259,3,1,4,2,3,3,2,2
170071261,3,1,2,5,2,5,4,1
170071263,1,1,1,1,4,4,5,1
170071264,4,1,1,2,5,5,5,3
170071265,5,1,1,1,1,1,1,1
170071276,3,1,5,1,5,5,5,5
170071279,1,1,1,1,2,1,1,1
170071284,5,1,5,1,2,2,2,2
170071296,5,1,5,1,5,1,1,1
170071297,5,1,1,1,1,1,1,2
170071302,5,1,4,5,4,2,2,2
170071303,4,1,5,2,5,5,5,5
170071304,5,5,5,5,5,5,5,5
170071305,1,1,1,2,2,2,2,2
170071306,5,1,5,1,5,5,5,1
170071307,2,1,2,1,2,1,1,1
170071308,3,1,1,4,2,1,1,1
170071309,5,1,1,3,5,5,5,1
170071310,2,2,2,1,3,2,1,1
170071311,1,1,1,1,1,1,1,1
170071313,1,1,5,5,5,5,5,2
170071317,3,1,1,1,1,1,1,1
170071320,2,1,1,1,2,2,1,1
170071327,1,1,1,1,1,2,4,1
170071429,2,1,2,1,1,1,1,1
170071432,1,2,3,2,1,1,1,1
170071433,1,1,5,5,5,5,5,5
170071444,4,1,5,1,1,1,1,1
170071448,3,1,1,1,2,1,1,1
170071454,2,1,1,1,2,1,1,3
170071463,2,1,1,1,1,1,1,1
170071472,2,2,4,1,1,1,1,1
170071473,5,2,1,5,5,5,5,5
170071474,2,2,2,2,5,1,2,2
170071481,4,4,5,1,5,1,1,1
170071484,2,1,1,4,5,4,4,4
170071491,1,1,1,1,1,1,1,1
170071494,1,1,3,1,2,2,3,1
170071495,1,2,4,1,5,2,2,1
170071496,3,1,3,1,1,1,1,2
170071497,1,1,1,4,1,1,1,1
170071504,3,1,1,1,5,5,5,1
170071505,3,2,5,1,1,1,1,1
170071506,2,1,1,1,1,1,1,1
170071513,1,1,1,1,3,1,3,1
170071514,2,5,5,3,5,5,5,5
170071515,5,4,5,4,5,3,5,3
170071516,1,1,2,1,1,1,1,1
170071517,3,1,4,1,3,1,1,2
170071525,1,4,1,1,1,1,1,1
170071527,3,1,1,1,1,1,1,1
170071528,1,2,3,1,3,1,1,1
170071530,2,1,5,5,3,1,5,1
170071532,1,2,1,1,2,1,1,1
170071533,2,1,1,1,3,3,3,1
170071534,1,1,5,1,1,1,1,1
170071537,1,1,4,1,5,3,2,1
170071541,1,1,4,3,1,1,2,1
170071543,5,1,5,1,1,1,1,1
170071547,5,1,1,5,5,5,5,5
170071552,1,1,1,1,1,5,5,1
170071556,2,1,5,1,5,5,5,1
170071558,2,1,5,4,5,5,5,3
170071559,4,1,5,1,1,1,1,1
170071566,3,1,5,5,5,5,5,5
170071573,5,1,5,1,1,1,1,1
170071586,2,1,1,1,1,1,1,2
170071589,3,2,4,2,4,2,2,2
170071594,3,1,3,1,2,1,1,1
170071602,1,1,1,1,1,1,1,1
170071605,5,1,5,1,1,1,1,1
170071608,1,3,1,1,1,1,2,1
170071612,1,1,5,1,1,1,1,1
170071621,3,1,3,1,5,1,1,1
170071622,3,1,5,5,5,5,5,2
170071623,2,1,1,1,1,1,1,1
170071624,2,5,5,1,1,1,1,1
170071626,1,1,2,1,1,1,2,1
170071629,5,1,5,1,5,5,5,1
170071634,3,1,1,1,5,5,5,1
170071637,1,1,1,1,4,1,1,1
170071638,1,1,1,1,1,1,1,4
170071639,2,1,5,1,2,1,1,1
170071642,4,1,2,1,1,1,1,1
170071643,1,1,1,1,1,1,1,1
170071727,5,3,5,3,5,5,5,3
170071728,5,5,5,1,1,1,1,1
170071729,4,5,3,1,1,1,1,1
170071730,4,3,1,5,5,2,5,1
170071735,1,1,5,1,4,1,1,1
170071739,5,4,5,1,1,1,1,1
170071748,3,1,3,1,3,3,1,1
170071751,2,1,5,1,1,1,1,1
170071752,5,1,2,1,1,2,2,1
170071755,2,1,5,1,5,5,5,2
170071759,3,1,5,5,4,4,2,2
170071762,3,1,3,1,1,1,1,1
170071765,5,1,3,1,3,2,1,1
170071768,4,1,4,1,2,1,1,1
170071773,4,1,1,1,5,5,5,2
170071776,5,1,2,1,3,2,3,1
170071780,5,4,1,1,5,5,5,1
170071839,3,2,5,1,2,1,1,2
170071849,4,1,1,1,1,1,1,1
170071850,3,1,1,5,5,1,1,1
170071852,5,3,5,1,3,1,1,1
170071853,5,1,5,3,3,2,1,1
170071859,2,1,4,4,3,2,2,2
170071861,3,1,1,1,1,1,1,1
170071862,4,1,4,1,4,1,1,4
170071864,1,1,1,1,1,1,2,1
170071866,4,1,1,4,4,1,3,3
170071868,1,1,5,1,1,1,1,1
170071869,4,1,5,5,3,5,5,3
170071870,1,1,1,1,2,2,1,1
170071873,2,1,1,1,5,1,1,1
170071894,1,2,5,1,4,1,1,4
170071907,4,2,4,1,2,1,1,2
170071911,5,4,4,5,1,5,1,5
170071913,3,1,1,1,1,1,1,1
170071923,5,2,5,1,5,1,5,2
170071924,2,2,2,1,3,1,1,2
170071933,3,1,5,1,5,3,2,2
170071940,2,1,5,1,2,1,1,1
170071941,5,1,3,1,3,1,3,1
170072103,5,1,5,5,5,5,5,5
170072112,1,1,1,1,3,1,3,1
170072137,5,2,3,1,3,3,1,3
170072151,2,1,1,5,5,4,1,5
170072161,1,1,1,1,1,1,1,1
170072173,1,5,1,1,2,1,1,1
170072181,1,1,1,1,1,1,1,1
170072185,5,5,5,5,5,5,5,1
170072186,3,1,1,1,4,1,1,1
170072191,5,5,5,5,5,3,2,1
170072192,4,3,1,5,5,5,5,2
170072193,5,5,3,4,5,1,1,5
170072194,5,5,5,1,1,1,1,1
170072195,1,1,2,1,1,1,1,1
170072196,3,1,5,1,3,1,1,1
170072201,2,1,5,5,5,5,5,5
170072221,4,1,5,3,5,3,2,3
170072250,5,3,5,1,5,5,5,2
170072251,2,2,2,2,2,2,2,2
170072252,2,2,2,2,2,2,2,2
170072254,5,2,5,2,5,2,1,2
170072267,5,3,3,1,2,1,1,2
170072268,4,2,4,2,3,2,2,2
170072269,3,1,1,1,2,1,1,1
170072273,5,4,5,1,3,2,1,3
170072295,4,2,5,1,1,1,1,1
170072306,5,2,2,1,1,1,1,1
170072349,1,1,1,1,1,1,1,1
170072360,3,3,5,1,2,1,1,5
170072362,3,2,2,1,3,2,1,2
170072372,2,1,1,2,1,1,5,1
170072375,5,1,1,1,1,1,2,5
170072388,3,3,3,1,1,1,1,3
170072414,3,1,2,1,1,1,1,1
170072419,2,1,5,1,3,1,1,4
170072422,1,1,5,1,1,1,1,1
170072423,3,1,5,3,5,5,5,3
170072437,2,1,1,1,1,1,1,1
170072455,5,1,5,1,5,1,1,5
170072499,2,1,2,1,2,2,1,3
170072505,5,5,5,1,3,1,1,1
170072508,1,1,1,1,1,1,1,1
170072509,5,5,5,5,5,5,5,5
170072560,2,1,1,2,2,1,5,5
170072569,5,3,3,3,5,1,1,5
170072570,1,1,5,1,1,1,1,1
170072572,3,1,2,2,2,2,2,5
170072605,5,5,5,1,5,5,5,5
170072606,4,5,5,1,1,1,2,1
170072607,5,1,2,1,5,4,5,5
170072614,5,1,5,5,5,5,3,1
170072615,5,1,2,1,1,1,1,2
170072617,5,5,5,5,5,5,5,5
170072620,2,1,1,1,1,1,1,1
170072621,1,1,4,1,1,1,1,1
170072641,1,1,1,1,5,1,1,1
170072642,1,2,2,1,5,5,5,1
170072645,3,2,5,4,4,3,2,1
170072648,5,5,1,1,5,1,1,1
170072649,5,1,1,1,1,1,1,1
170072650,3,4,2,1,2,1,1,1
170072652,5,5,5,3,5,5,5,5
170072654,2,1,1,4,1,1,5,3
170072672,5,1,1,1,1,1,1,1
170072675,5,1,1,1,5,5,5,1
170072676,3,3,3,3,3,3,3,3
170072687,3,3,3,3,3,3,3,3
170072694,3,1,1,2,5,5,5,3
170072700,5,5,5,2,5,1,1,5
170072701,2,2,2,1,2,1,1,1
170072727,2,1,5,1,1,1,5,2
170072728,5,2,5,5,5,5,1,5
170072744,1,3,4,1,1,1,1,1
170072752,1,1,3,1,1,1,1,1
170072762,1,5,5,1,4,2,2,1
170072768,3,1,1,1,5,1,1,1
