D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
840071158,3,1,1,5,2,1,1,2
840071159,5,5,5,5,5,1,1,1
840071160,5,5,4,1,4,1,4,2
840071161,5,2,2,1,1,1,2,3
840071162,2,2,1,1,5,2,2,1
840071163,5,1,2,1,2,1,1,1
840071164,2,5,2,3,3,2,-2,3
840071165,3,2,2,1,1,1,3,1
840071166,1,3,5,1,4,1,4,1
840071167,-2,1,3,1,1,1,5,5
840071168,5,1,2,1,1,1,1,1
840071169,2,2,2,2,2,2,2,3
840071170,2,3,3,3,3,3,4,4
840071171,2,3,3,2,5,3,2,-2
840071172,2,1,1,1,5,1,3,2
840071173,1,3,1,3,2,1,1,1
840071174,5,1,4,4,4,4,4,4
840071175,5,3,2,1,1,1,1,1
840071176,5,5,5,1,1,1,1,1
840071177,5,1,1,1,1,1,1,1
840071178,5,2,2,1,1,1,1,1
840071179,5,2,1,1,1,1,3,4
840071180,2,4,3,-2,2,2,3,1
840071181,3,4,3,-2,4,3,3,3
840071182,2,1,1,1,1,1,5,2
840071183,5,4,5,1,1,1,1,2
840071184,2,2,3,1,2,1,2,2
840071185,5,1,1,1,1,1,1,1
840071186,2,1,1,1,1,1,5,1
840071187,5,4,5,1,1,1,1,1
840071188,4,2,2,1,1,1,1,3
840071189,5,1,1,1,1,1,1,1
840071190,1,1,1,1,4,1,1,2
840071191,5,2,2,2,5,2,1,2
840071192,1,1,1,1,1,1,1,1
840071193,3,2,2,1,4,1,2,2
840071194,5,4,5,1,1,1,5,3
840071195,5,4,1,1,1,1,2,1
840071196,5,5,2,1,5,1,2,2
840071197,5,5,4,5,2,2,2,2
840071198,1,5,5,1,5,1,-2,2
840071199,5,3,4,4,3,4,5,2
840071200,3,5,3,5,2,1,4,1
840071201,5,2,2,2,1,1,1,3
840071202,4,4,3,2,4,4,2,3
840071203,4,3,4,5,5,2,1,5
840071204,4,2,2,2,5,5,-2,2
840071205,2,4,2,2,-2,2,5,2
840071206,5,1,3,1,5,1,5,4
840071207,5,2,2,1,4,1,1,2
840071208,2,1,4,4,2,1,1,1
840071209,5,1,2,2,5,3,3,3
840071210,5,1,1,1,1,1,5,1
840071211,1,2,1,1,1,1,5,2
840071212,5,4,5,4,5,4,4,4
840071213,5,4,1,1,1,1,1,1
840071214,5,5,5,2,5,3,3,3
840071215,5,4,4,1,1,1,1,1
840071216,4,2,2,1,2,1,1,2
840071217,2,3,2,2,2,2,2,2
840071218,4,1,1,1,4,1,5,5
