D_INTERVIEW,Q58,Q59,Q60,Q61,Q62,Q63
300070195,1,4,3,4,3,3
300070196,1,2,2,3,3,3
300070197,1,2,2,3,3,3
300070198,1,2,2,3,3,3
300070199,1,2,2,3,3,3
300070200,1,2,2,3,3,3
300070201,2,2,2,3,3,3
300070202,2,1,3,1,4,4
300070203,1,3,2,4,3,3
300070204,1,3,3,3,3,3
300070205,1,3,3,4,4,4
300070206,1,1,1,2,2,2
300070207,1,1,1,3,3,3
300070208,1,3,2,2,3,3
300070209,1,3,2,3,3,3
300070210,1,4,3,3,4,3
300070211,1,3,3,4,4,4
300070212,1,3,3,3,3,3
300070213,1,4,3,4,4,4
300070214,2,4,3,4,3,3
300070215,1,2,2,2,2,2
300070216,1,2,2,2,2,2
300070217,1,4,3,4,4,3
300070218,1,3,3,3,3,3
300070219,1,1,1,2,2,1
300070220,1,3,2,2,3,3
300070221,1,4,4,4,4,4
300070222,1,3,2,4,3,3
300070223,1,2,2,3,3,3
300070224,1,3,3,3,3,3
300070225,1,3,3,4,4,4
300070226,1,3,2,3,2,2
300070227,1,3,3,4,3,3
300070228,2,3,3,4,4,4
300070229,1,3,3,3,3,3
300070230,1,4,3,4,4,4
300070231,1,3,3,3,3,3
300070232,1,4,3,4,3,3
300070233,1,4,3,4,4,4
300070234,1,4,3,4,3,3
300070235,1,3,3,3,3,3
300070236,1,3,3,3,3,3
300070237,1,1,1,3,4,3
300070238,1,4,4,4,4,3
300070239,1,4,4,4,4,4
300070240,1,2,2,3,3,3
300070241,1,3,3,4,4,4
300070242,1,3,1,4,3,3
300070243,1,3,2,4,3,2
300070244,1,2,2,2,2,2
300070245,1,3,2,3,3,3
300070246,1,3,3,4,2,4
300070247,1,2,2,4,-1,-1
300070248,1,2,2,4,3,3
300070249,1,3,2,3,3,3
300070250,1,3,2,3,3,3
300070251,1,3,-2,3,3,3
300070252,1,3,2,4,3,3
300070253,1,1,1,3,2,2
300070254,1,2,1,3,3,3
300070255,1,2,1,3,4,3
300070256,1,2,1,3,3,3
300070257,1,2,1,3,2,2
300070258,1,2,1,3,3,3
300070259,1,2,2,3,4,3
300070260,1,2,2,3,3,3
300070261,2,2,2,2,2,2
300070262,1,2,2,3,3,3
300070263,2,3,2,3,3,3
300070264,1,2,2,3,3,3
300070265,1,2,2,3,3,3
300070266,1,2,2,3,2,2
300070267,1,3,2,3,3,3
300070268,1,2,2,3,3,3
300070269,1,3,2,3,3,3
300070270,1,2,2,3,3,3
300070271,1,1,1,3,3,3
300070272,1,2,2,3,3,3
300070273,2,2,3,4,4,4
300070274,2,4,1,2,2,2
300070275,2,2,2,2,2,2
300070276,2,2,2,4,4,4
300070277,1,2,2,3,3,3
300070278,1,1,2,2,2,2
300070279,2,2,2,4,4,4
300070280,1,2,2,3,3,3
300070281,2,2,2,3,3,3
300070282,1,3,2,3,3,3
300070283,1,2,2,2,2,2
300070284,1,3,2,3,3,3
300070285,1,3,2,3,3,3
300070286,1,2,2,3,3,3
300070287,1,3,2,3,3,3
300070288,1,3,3,4,3,3
300070289,1,3,2,3,3,3
300070290,1,3,2,3,3,3
300070291,1,2,2,3,3,3
300070292,1,2,2,3,3,3
300070293,1,2,2,3,3,3
