D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
300070074,1,1,1,1,1,1,1,3,6,6,-1,-1,1,1,1,1,1,1,1
300070075,1,3,1,1,1,-1,1,1,5,5,1,-1,1,1,1,1,1,1,3
300070076,1,1,1,1,1,10,1,1,10,10,1,10,1,1,1,1,10,1,1
300070077,1,1,1,1,1,1,1,1,5,5,1,2,1,1,1,1,-1,1,3
300070078,1,2,1,1,1,5,1,5,8,8,1,4,1,1,1,1,5,1,1
300070079,1,1,1,1,1,-1,1,9,10,7,-1,5,1,1,1,1,10,1,-1
300070080,1,3,1,1,1,5,1,1,5,1,1,1,1,1,1,1,5,1,4
300070081,1,1,1,1,1,8,6,7,10,10,1,2,1,1,1,1,5,1,2
300070082,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1
300070083,1,1,1,10,1,1,1,5,5,5,1,10,1,1,1,1,5,1,10
300070084,2,2,1,2,1,1,1,1,7,7,1,1,1,1,1,1,5,1,1
300070085,1,1,1,1,1,9,9,9,9,9,1,2,1,1,1,1,8,1,-2
300070086,1,1,1,1,1,5,5,5,5,5,1,2,1,1,1,1,2,1,1
300070087,1,1,1,1,1,5,5,5,10,8,1,5,1,1,1,1,10,1,1
300070088,1,1,1,1,1,5,3,7,9,9,1,2,1,1,1,1,1,1,1
300070089,1,1,1,1,1,4,4,8,9,1,7,2,1,1,1,1,3,1,2
300070090,1,1,1,1,1,2,1,5,10,5,1,1,1,1,1,1,1,1,1
300070091,1,3,1,1,1,8,3,6,10,10,1,3,1,1,1,1,9,2,2
300070092,1,5,1,1,1,5,3,10,10,10,3,7,1,1,1,1,10,1,1
300070093,1,1,1,1,1,5,2,1,5,10,1,3,1,1,1,1,5,1,1
300070094,1,1,1,1,1,5,3,7,10,10,5,5,1,1,1,1,10,-1,2
300070095,1,5,1,1,1,10,8,10,10,10,3,10,1,1,1,1,10,1,1
300070096,1,4,1,1,1,6,5,10,10,10,3,3,1,1,1,1,10,3,5
300070097,1,5,1,1,1,7,5,10,10,10,1,-1,1,1,1,1,10,1,1
300070098,1,1,1,1,1,5,3,7,10,10,1,3,1,1,1,1,8,1,2
300070099,1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,2
300070100,1,1,1,1,1,5,1,7,9,10,1,5,1,1,1,1,10,1,1
300070101,1,1,1,2,1,5,5,6,7,10,1,1,1,1,1,1,5,1,1
300070102,1,3,1,2,1,6,5,3,7,7,1,1,1,1,1,1,5,1,1
300070103,1,4,1,2,1,6,6,4,7,8,1,1,1,1,1,1,6,1,1
300070104,1,1,1,1,1,4,6,4,6,6,1,1,1,1,1,1,4,1,1
300070105,1,1,1,2,1,6,5,6,6,6,1,1,1,1,1,1,6,1,1
300070106,1,2,1,2,1,6,4,5,7,7,1,1,1,1,1,1,6,1,1
300070107,1,4,1,2,1,3,3,2,5,5,1,1,1,1,1,1,6,1,1
300070108,1,1,1,1,1,4,4,3,6,7,1,1,1,1,1,1,4,1,1
300070109,1,2,1,2,1,4,5,5,6,6,1,1,1,1,1,1,4,1,1
300070110,1,1,1,1,1,5,4,4,6,5,1,1,1,1,1,1,5,1,1
300070111,1,4,1,1,1,10,1,5,6,10,1,2,1,1,1,1,7,1,1
300070112,1,1,1,1,1,1,1,1,8,10,1,1,1,1,1,1,10,1,1
300070113,1,4,1,5,1,-1,-1,6,8,10,1,5,1,1,1,1,10,1,1
300070114,1,8,10,1,1,1,1,2,5,-2,8,10,1,8,1,6,-2,1,10
300070115,1,1,1,1,1,6,1,1,2,8,1,1,1,1,1,1,1,1,1
300070116,1,2,1,7,1,-1,7,7,9,10,3,10,1,1,1,1,10,1,8
300070117,1,4,1,1,1,-1,-1,5,6,10,1,1,1,1,1,1,10,1,1
300070118,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1
300070119,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,5,1,1
300070120,1,1,1,1,1,1,-1,-1,-1,-1,1,4,1,1,1,1,-1,1,3
300070121,1,5,1,3,2,9,7,6,9,9,1,4,1,1,1,1,5,2,1
300070122,3,7,1,2,2,5,3,7,9,9,2,7,1,2,1,1,8,2,5
300070123,2,3,1,5,2,6,4,6,8,6,1,4,1,1,1,2,7,2,8
300070124,4,6,1,2,2,1,1,6,8,4,1,7,1,1,1,1,5,1,2
300070125,3,7,1,2,1,6,4,7,9,6,2,8,1,1,1,1,6,2,3
300070126,1,3,1,2,2,6,8,9,10,7,1,4,1,1,1,1,7,1,3
300070127,1,7,1,1,1,10,5,1,7,10,1,1,1,1,1,1,7,1,3
