D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
300070076,4,2,3,3,3,2,2,4,4,4,4,2,2,2,2,3,-1,4
300070077,1,2,2,2,-1,1,2,-1,3,2,2,2,1,2,2,1,1,1
300070078,1,2,3,4,3,2,2,4,3,3,2,2,3,4,4,2,2,2
300070079,-1,2,4,4,4,2,3,3,4,4,3,2,2,4,4,2,2,2
300070080,1,2,3,3,3,1,3,4,4,4,3,3,4,4,4,2,2,1
300070081,4,3,3,3,3,3,2,3,4,3,4,2,2,2,2,2,2,2
300070082,1,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2
300070083,1,1,3,3,3,3,2,4,3,3,3,1,3,3,3,3,3,3
300070084,1,2,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,3
300070085,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,2,2,2
300070086,3,3,4,4,3,3,-2,2,3,2,2,2,2,2,2,2,2,2
300070087,2,2,3,3,3,2,3,3,4,3,3,3,3,2,2,2,-1,3
300070088,3,2,3,3,3,2,2,3,3,3,3,2,2,3,2,2,2,2
300070089,3,2,3,3,3,1,3,4,4,4,3,2,3,3,3,3,3,3
300070090,1,2,3,3,3,2,4,4,4,4,3,2,3,3,2,3,3,2
300070091,2,2,3,3,3,2,3,3,3,2,2,2,2,2,3,1,1,1
300070092,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,2,1,1
300070093,3,3,4,3,4,3,3,4,3,3,3,3,2,3,4,2,2,2
300070094,3,-1,3,4,4,2,2,4,4,3,2,1,2,2,4,1,1,2
300070095,4,3,4,4,3,4,3,-1,3,2,3,1,2,4,4,2,2,1
300070096,1,1,4,4,4,1,4,4,3,2,2,2,2,2,2,2,2,1
300070097,3,4,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,1
300070098,2,2,3,3,2,3,3,4,3,3,3,2,2,3,4,1,1,1
300070099,1,2,3,3,4,1,2,4,3,3,2,2,2,2,3,2,2,1
300070100,3,3,3,3,3,3,3,2,2,2,2,1,1,3,4,1,2,1
300070101,2,2,3,4,2,3,3,3,2,3,3,2,2,3,3,3,2,2
300070102,2,2,3,4,2,3,2,2,2,2,3,2,2,3,4,2,2,2
300070103,3,3,4,4,3,3,3,4,3,3,3,-2,2,3,3,2,2,2
300070104,1,1,3,3,3,2,1,3,2,2,2,2,2,3,3,3,3,2
300070105,3,4,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3
300070106,3,2,3,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2
300070107,1,1,3,4,3,2,2,4,3,3,3,2,2,3,3,2,3,2
300070108,1,1,3,3,3,2,2,3,2,2,2,2,2,3,3,2,2,1
300070109,1,1,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2
