D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
840071078,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,2
840071079,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4
840071080,3,2,3,3,3,4,3,4,3,3,3,3,4,3,3,3,2,2
840071081,4,4,4,4,4,4,4,3,4,3,3,2,4,3,4,2,4,2
840071082,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3
840071083,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
840071084,2,3,3,3,3,3,3,4,4,4,4,3,4,3,2,2,2,2
840071085,1,1,3,3,1,1,1,3,4,4,1,3,3,3,1,1,1,1
840071086,4,2,4,3,3,2,3,3,4,3,3,2,3,3,2,2,3,3
840071087,2,1,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3
840071088,3,2,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3
840071089,2,2,3,3,2,4,4,4,4,4,4,2,4,3,4,2,2,2
840071090,3,1,4,4,4,1,4,1,4,4,3,4,4,3,4,4,4,3
840071091,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,4,4,4
840071092,3,2,3,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3
840071093,4,1,4,3,1,2,4,4,4,4,3,4,4,4,4,3,3,3
840071094,2,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,3
840071095,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
840071096,4,2,4,4,3,1,2,3,4,4,3,3,4,3,1,2,4,3
840071097,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3
840071098,3,3,4,3,4,4,3,3,3,3,2,2,4,4,4,2,1,1
840071099,3,3,3,2,2,2,2,3,4,3,3,2,3,3,2,3,2,2
840071100,4,3,3,3,3,2,2,4,4,3,-2,2,3,2,2,4,4,3
840071101,3,4,3,3,4,3,3,4,4,4,4,3,3,3,4,3,3,4
840071102,4,2,4,4,2,2,3,3,4,4,3,2,4,3,3,2,2,2
840071103,1,1,4,4,4,1,1,1,1,3,3,3,3,3,2,3,3,2
840071104,3,3,2,3,3,3,3,4,3,3,3,2,3,3,4,2,3,2
840071105,1,2,4,4,2,2,4,4,4,4,4,2,3,3,2,2,3,1
840071106,3,2,4,3,3,1,3,3,4,4,3,3,3,3,3,2,3,3
840071107,3,2,3,3,3,3,3,1,3,2,2,3,3,3,2,2,2,2
840071108,2,2,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3
840071109,2,-2,2,2,2,2,3,3,3,3,3,3,3,3,2,-2,2,3
840071110,2,3,4,3,4,4,4,4,3,3,2,3,1,1,2,2,1,3
840071111,4,2,3,3,3,3,4,4,4,4,4,4,4,4,2,3,4,3
840071112,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3
840071113,3,2,2,3,4,3,3,2,4,3,3,3,-2,3,3,3,4,4
840071114,4,4,3,3,2,4,4,4,3,4,4,2,3,3,3,1,1,2
840071115,4,4,1,3,2,4,3,4,4,4,3,2,4,4,4,1,1,2
840071116,3,2,2,2,3,2,2,1,3,3,2,2,2,3,2,2,2,3
840071117,4,1,3,3,3,1,3,4,4,4,3,1,4,3,4,2,1,1
840071118,3,3,4,4,3,3,3,4,3,3,3,3,4,4,3,2,2,2
840071119,4,1,2,2,1,4,4,4,4,4,4,3,4,4,4,1,3,1
840071120,3,2,4,4,2,4,3,3,4,4,2,2,3,3,3,3,4,3
840071121,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,2,2,3
840071122,2,2,3,3,3,2,2,3,3,3,2,2,3,3,2,2,2,3
840071123,3,-2,4,4,3,2,4,2,4,4,3,3,4,4,4,3,2,2
840071124,4,2,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3
840071125,1,1,4,4,4,1,3,1,4,4,4,3,4,3,3,4,3,4
840071126,4,1,4,3,1,1,1,3,3,3,1,1,3,3,1,1,1,3
840071127,3,3,2,3,2,2,3,4,3,4,2,2,4,3,3,2,2,3
840071128,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2
840071129,3,2,3,4,4,2,2,3,4,3,3,2,4,3,4,2,3,2
840071130,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4
840071131,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3
840071132,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
840071133,2,1,3,3,3,2,3,1,3,3,3,3,3,3,1,3,1,3
840071134,3,2,3,3,3,2,2,4,4,4,2,1,3,3,2,1,2,2
840071135,4,3,2,3,2,2,3,4,4,4,4,4,4,2,3,4,4,3
840071136,3,2,3,3,4,3,3,4,4,-2,3,2,4,3,3,2,2,1
840071137,4,4,2,3,2,4,3,4,2,3,3,3,3,4,4,1,1,1
840071138,3,3,4,4,3,4,4,4,4,4,3,3,4,3,2,2,2,3
840071139,3,-2,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4
840071140,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4
840071141,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
840071142,3,1,4,2,4,1,2,3,4,-2,2,1,4,2,1,1,1,2
840071143,4,2,4,4,2,2,2,4,3,3,2,2,4,4,4,1,1,1
840071144,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2
840071145,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4
840071146,4,2,3,3,3,4,4,4,4,4,3,4,4,4,3,4,3,4
840071147,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071148,4,2,3,2,3,3,3,4,4,4,4,2,4,3,3,3,2,2
840071149,4,4,4,4,2,3,3,4,3,4,4,4,4,4,4,4,2,2
840071150,3,2,3,3,3,2,3,2,3,3,3,2,2,3,2,3,3,2
840071151,1,3,3,1,2,3,2,3,3,3,3,3,2,-2,3,3,3,-2
840071152,2,2,3,4,4,2,3,3,3,4,3,4,3,4,3,-2,3,3
840071153,3,2,4,4,4,2,2,3,4,3,3,3,4,4,4,3,3,4
840071154,1,4,3,4,4,3,4,2,3,3,2,1,3,2,4,1,4,3
840071155,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071156,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3
840071157,2,2,4,4,3,2,3,4,3,3,3,3,3,4,4,3,3,2
840071158,4,2,4,3,2,3,3,2,3,4,3,3,3,3,3,4,3,3
840071159,1,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3
840071160,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3
840071161,3,2,4,3,4,2,2,2,3,3,3,3,3,2,2,2,3,3
840071162,2,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,1
840071163,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
840071164,4,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3
840071165,2,3,2,2,3,4,3,3,3,2,3,1,3,2,1,1,1,1
840071166,2,3,1,4,3,4,4,3,3,3,3,1,4,3,3,1,3,2
840071167,4,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4
840071168,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3
840071169,2,2,3,3,3,2,2,2,2,3,2,1,1,2,2,2,2,2
840071170,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,4,3
840071171,2,1,1,-2,1,2,2,1,2,2,1,2,3,3,2,4,4,2
840071172,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,4,3,2
840071173,3,2,3,1,4,3,4,4,3,1,3,2,1,2,3,1,3,1
840071174,1,1,4,4,4,1,4,1,4,4,2,4,4,-2,3,3,3,2
840071175,2,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,2
840071176,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3
840071177,3,1,4,3,1,2,2,1,3,2,2,2,2,2,2,3,3,2
840071178,1,1,4,3,4,4,4,2,4,4,4,3,3,4,3,2,3,1
840071179,1,1,4,3,4,3,3,1,2,3,2,1,2,2,2,1,1,1
840071180,2,3,4,4,3,2,3,2,3,2,2,2,3,2,4,1,2,2
840071181,2,3,2,3,2,2,-2,2,-2,3,2,3,2,1,3,2,2,2
840071182,2,2,3,3,3,2,2,3,3,3,3,3,4,3,2,2,2,3
840071183,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3
840071184,2,2,3,3,3,2,3,2,3,3,3,2,2,3,2,2,2,2
840071185,2,2,3,3,3,2,1,3,4,4,3,3,4,3,4,2,2,2
840071186,3,2,3,2,3,2,2,2,3,3,4,2,3,2,2,2,2,3
840071187,1,2,3,3,3,4,3,3,4,4,4,3,4,2,3,2,1,3
840071188,2,2,3,3,3,1,2,3,3,3,2,2,3,2,2,1,2,2
840071189,3,1,4,2,3,3,3,3,4,4,4,3,3,3,3,2,3,3
840071190,1,2,4,3,3,2,2,4,4,4,3,3,3,3,2,2,2,2
840071191,3,2,3,3,3,2,2,2,3,3,2,3,2,2,-2,3,2,3
840071192,2,2,3,3,3,3,3,4,4,4,3,3,3,3,2,2,-2,2
840071193,2,2,3,3,3,2,2,3,3,3,3,3,3,2,2,2,2,2
840071194,4,2,4,4,4,4,4,3,4,4,3,3,4,3,4,3,4,4
840071195,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4
840071196,3,3,3,3,3,3,3,3,3,-2,3,2,3,3,3,2,2,2
840071197,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
840071198,4,2,3,3,3,2,2,4,4,4,4,3,3,3,3,3,3,4
840071199,2,2,2,2,3,2,2,4,4,3,3,4,4,4,4,4,4,3
840071200,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2
840071201,2,3,4,4,2,2,3,3,3,3,2,3,4,3,3,3,2,2
840071202,2,4,-2,1,2,2,-2,2,-2,1,2,2,2,3,2,4,1,-2
