D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
840071041,4.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0
840071042,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0
840071043,2.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
840071044,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0
840071045,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
840071046,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0
840071047,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0
840071048,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071049,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
840071050,3.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
840071051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
840071052,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
840071053,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071054,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0
840071055,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071056,4.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0
840071057,2.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
840071058,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0
840071059,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071060,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
840071061,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0
840071062,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071063,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0
840071064,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
840071065,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0
840071066,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0
840071067,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0
