D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
840071099,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071100,1.0,2.0,3.0,1.0,2.0,2.0,3.0
840071101,3.0,3.0,4.0,4.0,4.0,4.0,4.0
840071102,3.0,4.0,4.0,3.0,4.0,3.0,4.0
840071103,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071104,2.0,3.0,3.0,3.0,2.0,3.0,3.0
840071105,3.0,2.0,3.0,2.0,2.0,4.0,2.0
840071106,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071107,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071108,3.0,4.0,4.0,4.0,4.0,4.0,4.0
840071109,3.0,3.0,3.0,3.0,2.0,3.0,3.0
840071110,1.0,1.0,2.0,3.0,1.0,3.0,2.0
840071111,2.0,3.0,2.0,2.0,3.0,3.0,2.0
840071112,1.0,1.0,4.0,1.0,1.0,1.0,1.0
840071113,4.0,4.0,3.0,3.0,3.0,3.0,3.0
840071114,2.0,2.0,1.0,3.0,2.0,2.0,3.0
840071115,3.0,4.0,4.0,3.0,3.0,4.0,3.0
840071116,2.0,2.0,1.0,1.0,2.0,2.0,2.0
840071117,2.0,1.0,1.0,2.0,2.0,2.0,1.0
840071118,3.0,4.0,3.0,4.0,4.0,4.0,3.0
840071119,3.0,4.0,1.0,2.0,4.0,4.0,1.0
840071120,2.0,1.0,1.0,1.0,1.0,1.0,1.0
840071121,2.0,2.0,4.0,2.0,1.0,3.0,3.0
840071122,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071123,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071124,2.0,3.0,2.0,2.0,4.0,3.0,2.0
840071125,1.0,1.0,4.0,1.0,1.0,1.0,1.0
840071126,4.0,1.0,3.0,1.0,3.0,3.0,1.0
840071127,4.0,4.0,3.0,3.0,4.0,4.0,4.0
840071128,1.0,4.0,4.0,4.0,4.0,4.0,4.0
840071129,2.0,2.0,4.0,2.0,2.0,3.0,3.0
840071130,4.0,4.0,4.0,3.0,4.0,4.0,4.0
840071131,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071132,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071133,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071134,3.0,1.0,4.0,4.0,4.0,4.0,4.0
840071135,4.0,2.0,4.0,1.0,2.0,4.0,4.0
840071136,2.0,3.0,3.0,3.0,2.0,3.0,3.0
840071137,4.0,4.0,4.0,3.0,4.0,4.0,4.0
840071138,4.0,3.0,4.0,3.0,2.0,2.0,4.0
840071139,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
840071140,4.0,4.0,4.0,2.0,3.0,3.0,3.0
840071141,1.0,2.0,1.0,1.0,1.0,3.0,3.0
840071142,3.0,3.0,4.0,4.0,4.0,4.0,4.0
840071143,2.0,2.0,3.0,2.0,2.0,2.0,2.0
