D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
840071175,2,2,2,2,2,2,3
840071176,3,3,4,4,4,4,4
840071177,4,4,4,4,4,4,4
840071178,2,2,1,3,2,2,2
840071179,4,4,4,4,4,4,4
840071180,3,2,3,1,1,2,3
840071181,3,2,4,3,2,3,2
840071182,3,3,3,3,4,4,4
840071183,2,3,4,2,3,4,3
840071184,3,3,3,2,3,3,3
840071185,4,4,4,4,4,3,4
840071186,2,3,3,4,3,4,4
840071187,3,3,3,4,2,3,3
840071188,4,4,4,4,4,4,4
840071189,3,2,3,4,3,3,4
840071190,2,1,3,2,2,2,2
840071191,3,4,4,4,4,4,4
840071192,3,2,3,3,2,3,3
840071193,3,3,3,4,1,3,4
840071194,2,1,2,1,3,2,4
840071195,3,3,2,4,4,1,2
840071196,4,2,3,2,2,2,1
840071197,2,2,2,2,2,3,2
840071198,4,4,4,3,2,4,4
840071199,2,3,4,-2,-2,-2,-2
840071200,2,1,2,2,2,3,2
840071201,2,3,3,2,2,3,3
840071202,3,3,2,4,-2,2,2
840071203,3,2,1,1,4,2,3
840071204,1,3,2,2,3,-2,2
840071205,2,3,2,2,2,3,2
840071206,3,2,3,3,3,3,3
840071207,3,1,4,3,2,2,3
840071208,4,4,4,4,4,4,4
840071209,4,3,3,3,3,3,3
840071210,3,2,2,2,1,1,2
840071211,1,1,3,4,1,1,4
840071212,4,3,3,3,3,4,4
840071213,2,2,3,2,1,2,2
840071214,4,4,4,4,4,4,4
840071215,4,4,4,4,4,4,4
840071216,4,3,3,3,4,4,4
840071217,3,3,2,4,3,2,4
840071218,3,3,3,3,3,3,3
840071219,2,3,2,2,3,3,3
840071220,4,4,4,4,4,4,4
840071221,3,3,3,3,3,3,3
840071222,1,2,3,3,2,1,3
840071223,3,2,3,3,2,3,3
840071224,3,3,3,3,2,3,3
840071225,3,3,3,3,4,3,3
840071226,4,3,1,2,3,3,3
840071227,2,3,3,3,3,3,3
840071228,1,3,2,2,3,1,4
840071229,2,1,2,3,2,3,3
840071230,3,3,4,4,4,4,4
840071231,3,3,3,3,2,3,3
840071232,2,2,2,3,2,3,2
840071233,2,1,3,3,2,3,2
840071234,3,1,3,1,1,1,1
840071235,4,4,4,4,4,4,4
840071236,2,2,3,2,2,3,3
840071237,3,3,3,3,3,3,3
840071238,3,3,3,3,3,3,3
840071239,2,1,3,2,2,3,1
840071240,2,3,4,4,2,3,3
840071241,2,1,1,2,1,1,1
840071242,3,3,3,3,3,3,3
840071243,2,3,3,4,2,2,2
840071244,3,3,2,4,3,3,3
840071245,4,4,4,4,4,4,4
840071246,4,4,4,-2,4,4,3
840071247,3,3,3,3,3,3,3
840071248,2,2,2,1,2,2,2
840071249,3,2,3,3,3,3,3
840071250,2,3,3,2,2,2,3
840071251,1,1,2,3,2,2,3
840071252,3,3,4,2,2,4,3
840071253,2,3,2,2,2,2,3
840071254,2,1,3,1,1,1,1
840071255,4,4,4,4,4,4,4
840071256,1,1,2,2,1,1,3
840071257,3,3,3,3,2,4,3
840071258,2,2,2,2,2,2,2
840071259,3,2,3,3,1,3,3
840071260,3,4,4,3,4,4,4
840071261,3,3,3,3,3,3,3
840071262,3,3,2,3,3,3,4
840071263,3,3,3,3,3,3,3
840071264,2,1,2,3,2,2,1
840071265,3,3,2,3,2,3,3
840071266,3,3,3,3,3,3,4
840071267,2,1,3,3,2,3,3
840071268,4,4,3,3,3,4,4
840071269,3,3,2,3,2,4,4
840071270,3,3,3,3,3,3,3
840071271,4,1,3,4,2,2,3
840071272,3,4,4,4,4,4,4
840071273,4,2,2,1,4,4,4
840071274,3,2,2,1,1,1,2
840071275,3,4,4,4,3,3,4
840071276,2,2,2,2,2,2,2
840071277,3,2,3,3,2,2,3
840071278,4,4,3,3,4,4,4
840071279,3,3,3,4,2,2,2
840071280,3,3,3,3,3,3,3
840071281,4,2,3,2,2,3,3
840071282,2,2,3,2,1,1,3
840071283,4,3,4,4,4,4,4
840071284,2,3,2,2,2,3,2
840071285,4,4,4,2,2,2,3
840071286,3,3,4,3,2,4,3
840071287,3,2,4,4,2,2,3
840071288,3,2,3,3,2,2,3
840071289,3,2,1,1,2,2,2
840071290,3,2,3,3,3,3,4
840071291,3,3,3,3,3,3,3
840071292,3,3,3,2,3,3,2
840071293,3,2,4,3,3,3,3
840071294,3,3,3,3,3,3,3
840071295,3,2,4,3,2,2,2
840071296,2,3,2,2,2,2,2
840071297,1,1,2,2,1,1,2
840071298,2,2,2,2,2,2,2
840071299,4,3,4,2,3,4,3
840071300,2,2,3,2,1,2,2
840071301,3,2,3,3,2,3,3
840071302,4,4,4,4,4,4,4
840071303,3,2,4,3,3,3,3
840071304,1,1,2,1,1,2,1
840071305,4,4,4,4,4,4,4
840071306,3,4,4,3,3,4,4
840071307,4,4,3,1,4,4,3
840071308,3,-2,2,3,1,3,3
840071309,4,4,4,4,4,4,4
840071310,3,3,3,3,2,3,3
840071311,3,3,3,3,4,3,4
840071312,2,2,2,2,2,2,3
840071313,3,3,3,1,1,3,3
840071314,3,3,4,4,3,4,4
840071315,3,2,4,3,3,3,3
840071316,1,3,3,1,1,2,3
840071317,2,3,4,4,4,4,4
840071318,3,3,4,4,4,4,3
840071319,3,3,3,3,3,3,3
840071320,2,1,4,3,1,2,3
840071321,2,2,3,2,2,3,1
840071322,2,2,3,3,2,2,2
840071323,3,3,2,2,2,3,3
840071324,3,2,3,3,1,3,3
840071325,2,3,2,2,2,1,-2
840071326,4,4,4,4,-2,4,4
840071327,2,3,4,3,3,3,2
840071328,4,4,4,4,4,4,4
840071329,3,3,4,2,2,3,3
840071330,3,2,3,2,2,3,3
840071331,3,3,2,3,1,2,3
840071332,2,3,2,2,2,2,3
840071333,2,2,3,4,2,3,4
840071334,2,2,3,3,2,3,3
840071335,3,2,4,3,2,3,4
840071336,3,1,1,3,3,1,1
840071337,3,2,3,2,3,3,3
840071338,4,4,1,3,4,4,4
840071339,3,2,3,3,3,4,4
840071340,2,2,2,2,2,2,2
840071341,2,3,3,3,2,3,3
840071342,4,3,3,3,3,3,3
840071343,3,3,3,3,3,3,3
840071344,3,3,3,2,2,2,2
840071345,3,2,4,3,3,3,4
840071346,2,4,4,3,3,4,4
840071347,2,1,1,2,1,1,1
840071348,2,1,2,3,2,2,3
840071349,2,2,2,2,3,3,3
840071350,1,1,3,2,1,1,2
840071351,3,3,3,3,3,3,3
840071352,3,3,3,3,3,3,3
840071353,2,2,2,2,2,2,3
840071354,4,2,2,2,2,4,3
840071355,3,3,3,3,3,3,3
840071356,3,3,3,3,3,3,3
840071357,2,2,3,2,2,3,2
840071358,2,3,3,1,1,2,3
840071359,3,2,3,2,1,3,2
840071360,2,2,3,2,2,2,2
840071361,4,4,2,3,4,4,4
840071362,3,3,3,4,4,4,4
840071363,4,4,4,4,4,4,4
840071364,2,2,2,1,2,2,3
840071365,4,4,4,4,4,4,4
840071366,2,1,2,1,1,1,1
840071367,1,2,3,1,1,2,1
840071368,3,3,3,2,3,3,2
840071369,3,3,2,3,2,1,4
840071370,1,2,4,4,1,2,2
840071371,3,3,2,3,2,3,3
840071372,3,3,3,3,4,3,4
840071373,3,2,3,3,2,2,3
840071374,4,4,4,4,4,4,4
840071375,4,4,4,4,4,4,4
840071376,4,4,3,4,3,4,4
840071377,3,3,3,1,3,3,3
840071378,3,3,2,3,3,3,3
840071379,3,3,3,3,3,3,3
840071380,2,1,2,1,1,2,2
840071381,3,2,3,3,2,3,3
840071382,4,2,2,2,4,3,3
840071383,3,3,3,3,2,2,3
840071384,3,3,3,3,4,4,4
840071385,3,3,4,2,4,4,4
840071386,4,4,4,4,4,4,4
840071387,3,2,3,2,1,2,2
840071388,2,2,4,3,3,3,2
840071389,4,3,4,4,4,4,4
840071390,3,2,3,2,3,2,-2
840071391,1,1,4,1,1,1,1
840071392,3,3,4,3,3,3,3
840071393,2,3,3,3,3,4,3
840071394,1,1,2,1,1,1,2
840071395,4,2,4,3,2,3,3
840071396,1,1,3,1,1,1,1
840071397,4,3,4,3,3,3,3
840071398,4,4,4,4,3,4,3
840071399,2,3,4,1,1,3,3
840071400,2,1,3,2,1,3,2
840071401,2,1,3,3,1,1,2
840071402,4,4,4,4,4,4,4
840071403,2,1,4,3,1,4,4
840071404,3,2,3,4,1,3,2
840071405,3,2,3,3,2,3,3
840071406,4,4,4,4,4,4,4
840071407,4,2,4,3,4,3,3
840071408,3,3,3,3,3,3,3
