D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
840071198,2,4,3,3,3,3
840071199,2,3,3,3,4,4
840071200,3,4,4,4,4,3
840071201,2,3,3,3,4,1
840071202,1,2,2,2,1,2
840071203,2,3,4,3,3,4
840071204,1,2,3,2,1,1
840071205,1,2,1,2,2,2
840071206,2,3,3,4,3,3
840071207,2,4,3,3,3,1
840071208,3,2,3,3,3,1
840071209,1,3,3,3,3,3
840071210,1,2,3,3,3,3
840071211,2,3,4,4,4,4
840071212,2,3,3,3,3,2
840071213,1,3,3,4,4,3
840071214,2,3,4,3,4,1
840071215,1,4,3,4,4,2
840071216,2,4,3,3,3,2
840071217,2,3,1,1,2,3
840071218,2,2,2,3,3,2
840071219,1,4,4,4,4,2
840071220,2,3,3,3,3,1
840071221,4,4,4,4,4,4
840071222,3,3,3,3,3,1
840071223,2,3,3,3,3,2
840071224,2,1,3,3,3,3
840071225,2,4,3,3,3,2
840071226,1,3,3,3,4,2
840071227,2,3,1,2,2,1
840071228,2,4,4,4,4,3
840071229,2,3,3,3,3,2
840071230,1,2,3,3,4,3
840071231,2,3,4,4,4,1
840071232,2,3,3,3,3,3
840071233,1,3,3,3,3,4
840071234,2,3,3,3,3,1
840071235,2,4,4,4,4,1
840071236,1,1,3,3,3,1
840071237,1,2,3,3,2,1
840071238,3,4,4,4,4,3
840071239,2,4,3,3,3,1
840071240,1,4,4,4,4,1
840071241,2,4,4,4,4,3
840071242,2,-2,3,3,3,3
840071243,2,3,3,3,3,2
840071244,1,3,2,2,3,1
840071245,2,3,2,2,3,2
840071246,2,3,3,3,3,2
840071247,2,3,3,4,4,4
840071248,1,4,3,3,4,1
840071249,1,3,3,3,3,2
840071250,2,2,3,3,3,3
840071251,1,1,3,3,3,4
840071252,3,3,4,4,4,2
840071253,2,3,3,3,3,3
840071254,2,2,3,1,1,1
840071255,1,3,4,3,3,3
840071256,2,4,3,3,3,2
840071257,1,4,3,3,3,3
840071258,2,3,2,3,3,3
840071259,2,2,3,3,3,1
840071260,1,2,4,4,4,1
840071261,1,4,4,4,4,4
840071262,3,1,3,3,3,3
840071263,2,4,4,3,4,1
840071264,2,3,3,3,3,3
840071265,1,3,4,4,4,3
840071266,2,3,3,4,3,2
840071267,2,4,4,4,4,1
840071268,1,3,3,3,3,2
840071269,1,3,3,4,3,2
840071270,1,3,1,3,1,2
840071271,2,4,-1,4,4,1
840071272,3,3,3,3,3,3
840071273,1,3,3,3,2,2
840071274,1,4,2,2,2,3
840071275,2,3,4,4,4,1
840071276,2,2,3,3,3,3
840071277,2,3,3,3,3,1
840071278,2,2,4,3,4,1
840071279,1,2,2,1,2,2
840071280,2,2,3,3,3,3
840071281,1,3,3,3,3,2
840071282,1,2,3,3,3,3
840071283,1,2,3,3,3,3
840071284,2,3,3,3,3,2
840071285,3,3,3,3,3,3
840071286,1,3,3,3,3,1
840071287,1,3,3,3,3,2
840071288,2,3,3,3,4,2
840071289,2,3,3,3,3,3
840071290,2,3,4,4,4,1
840071291,2,2,3,3,3,2
840071292,1,1,1,1,2,1
840071293,1,4,4,4,4,1
840071294,2,3,3,3,3,2
840071295,4,1,1,4,2,1
840071296,1,3,3,3,3,3
840071297,1,3,3,3,3,2
840071298,3,3,3,3,3,3
