D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
170070541,4,4,3,3,2,4,3,3,4,4,4,2,3,2,3,2,2,3
170070544,2,2,2,2,4,2,3,3,3,3,3,2,2,2,2,2,2,2
170070545,1,3,3,4,4,3,3,3,4,4,4,1,3,3,4,3,1,3
170070553,1,1,1,3,3,3,3,3,3,3,3,1,2,1,1,1,1,2
170070558,3,3,2,2,3,4,3,3,4,4,4,4,4,4,4,1,1,1
170070559,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
170070560,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170070561,1,1,3,3,3,1,3,1,3,3,3,2,3,1,1,2,3,2
170070562,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,4,1,4
170070565,1,3,3,3,3,4,3,3,3,4,4,3,3,3,3,4,4,3
170070585,1,3,2,3,3,2,3,1,3,3,3,1,3,1,1,2,2,2
170070593,1,3,3,3,2,3,2,4,4,4,4,1,3,4,3,2,2,1
170070598,3,3,4,4,3,3,3,4,3,3,3,2,2,3,3,2,2,2
170070601,1,3,1,3,3,3,3,4,3,3,3,3,3,3,4,1,3,1
170070621,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170070626,4,2,3,3,3,3,4,4,4,4,4,1,4,2,3,1,4,4
170070630,3,3,3,4,2,3,3,3,3,4,4,3,4,1,3,2,2,1
170070631,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3
170070663,2,3,1,1,3,3,3,4,1,2,3,2,4,3,3,3,1,3
170070666,2,4,4,3,3,1,4,3,4,4,4,3,4,3,3,3,3,3
170070669,1,2,3,3,2,2,3,3,3,2,3,2,3,2,2,2,1,2
170070672,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
170070673,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,2,3
170070676,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4
170070680,4,1,1,1,4,4,1,1,4,4,4,1,4,4,4,4,4,4
170070682,1,4,3,3,3,3,3,3,4,4,4,2,4,1,3,3,3,4
170070686,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,1,1
170070699,1,4,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3
170070703,3,1,1,1,3,3,3,4,4,4,3,1,3,2,2,2,2,3
170070704,1,1,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3
170070706,3,3,3,3,1,4,3,3,4,4,3,1,3,3,3,1,1,1
170070723,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2
170070731,1,2,3,4,4,1,4,3,3,4,4,2,3,4,4,2,1,1
170070734,2,2,1,1,1,1,1,1,3,3,3,1,2,1,1,1,1,1
170070737,1,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2
170070749,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
170070750,1,1,3,3,3,3,3,4,3,4,3,3,1,1,1,1,1,1
170070751,4,3,1,3,3,3,4,4,4,4,4,1,1,3,3,1,3,4
170070752,3,4,4,3,3,3,3,3,4,4,4,1,4,4,2,3,4,4
170070756,3,3,3,3,3,3,3,4,4,4,4,2,4,3,1,2,1,2
170070760,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
170070762,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170070763,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,3,3
170070764,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4
170070769,3,3,3,3,3,1,1,1,3,3,3,1,3,3,1,1,1,1
170070776,2,1,2,2,1,2,4,4,4,4,4,2,3,2,1,1,2,1
170070779,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
170070805,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,2,3
170070809,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170070810,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,3,3
170070836,3,3,3,3,3,3,4,3,4,4,4,3,4,4,4,3,3,3
170070856,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
170070868,1,1,1,1,3,4,3,1,3,3,4,1,1,3,4,1,3,4
170070881,1,1,3,3,3,1,3,3,3,4,1,1,2,2,1,1,1,3
170070884,3,4,3,3,3,4,3,4,4,4,4,3,3,3,1,1,4,3
170070890,2,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
170070904,3,3,4,4,4,3,4,4,4,4,4,3,4,2,4,3,2,3
170071000,3,2,4,4,3,3,4,4,4,4,3,1,3,3,3,4,2,3
170071009,3,3,2,4,4,2,4,4,4,4,4,2,3,3,2,4,2,3
170071010,2,1,1,3,3,1,3,1,3,3,3,3,3,3,1,3,3,1
170071012,1,1,1,3,3,3,3,2,4,4,4,3,3,3,3,3,3,3
170071013,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
170071014,3,3,3,3,3,3,3,3,3,3,4,1,3,1,3,3,3,3
170071018,2,3,1,3,1,3,3,3,3,3,3,3,3,3,3,4,1,2
170071020,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,1,1
170071024,3,3,4,3,3,4,3,3,4,4,4,3,4,3,2,2,3,3
170071029,1,1,1,1,3,1,3,3,3,3,3,1,3,3,3,3,3,1
170071042,3,1,4,4,4,1,4,4,4,4,4,1,3,3,3,1,1,1
170071045,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
170071046,2,1,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3
170071051,2,4,4,4,3,3,4,4,4,4,4,3,4,3,4,2,2,2
170071052,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
170071053,2,2,3,3,1,3,3,3,3,4,4,2,4,4,2,2,2,3
170071059,2,3,4,4,4,3,3,3,4,4,4,3,4,3,3,3,2,3
170071060,1,1,3,1,3,3,3,3,3,3,3,1,3,3,3,1,3,3
170071061,1,2,3,3,3,2,3,4,3,4,4,1,4,3,3,3,3,4
170071062,2,3,3,1,3,3,3,3,3,2,3,2,3,2,3,2,2,1
170071083,3,3,4,4,4,4,4,4,3,4,3,3,3,3,4,3,3,3
170071092,3,1,3,3,3,1,1,1,3,1,3,3,3,3,3,4,3,1
170071094,3,3,4,4,4,3,4,4,4,4,4,3,3,2,3,3,3,3
170071095,1,1,3,3,4,4,4,4,4,4,4,2,3,3,3,1,3,3
170071096,3,2,3,3,3,1,3,4,4,4,4,2,4,2,2,2,2,3
170071097,3,1,1,3,3,3,4,4,4,4,4,1,4,3,3,3,3,3
170071101,4,1,3,3,3,4,4,4,4,4,4,4,4,3,3,1,3,3
170071104,1,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4
170071110,2,2,3,3,4,3,4,4,4,4,3,2,4,3,3,4,2,3
170071113,3,3,3,2,3,3,3,4,4,4,4,2,2,2,2,3,3,2
170071124,3,3,3,3,3,1,1,3,3,3,3,1,3,3,1,1,1,1
170071131,1,1,3,3,1,1,3,3,3,3,3,1,1,3,3,1,1,3
170071152,1,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3
170071153,3,3,2,2,3,4,3,3,3,2,3,2,3,2,3,1,2,4
170071158,1,4,4,4,4,3,3,3,3,4,4,1,3,3,3,3,4,3
170071160,2,3,3,3,4,4,4,4,3,4,4,4,2,4,4,4,4,4
170071163,4,1,3,3,2,2,4,4,4,4,4,3,4,3,2,1,3,4
170071164,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170071165,3,2,3,3,3,4,3,4,4,4,3,1,4,2,2,2,2,3
170071166,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,3
170071178,1,1,3,3,3,1,3,3,3,3,1,3,3,2,3,1,4,3
170071181,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1
170071187,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170071188,1,3,4,3,4,3,3,3,3,3,4,2,3,4,4,3,3,3
