D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
604070143,2,3,1,2,1,3,2,3,3
604070144,2,3,2,3,4,3,2,3,3
604070145,3,3,4,1,3,1,1,2,1
604070146,2,2,3,4,2,2,1,2,2
604070147,2,2,4,2,1,2,2,2,2
604070148,2,2,3,2,2,2,2,2,2
604070149,4,3,2,3,4,2,2,1,2
604070150,2,2,3,4,3,2,1,2,2
604070151,5,4,4,3,3,2,1,1,2
604070152,5,2,2,4,3,1,1,1,2
604070153,5,4,2,4,2,1,1,1,2
604070154,4,2,4,4,3,2,1,2,2
604070155,5,2,4,2,4,2,1,2,2
604070156,5,2,2,2,3,2,1,1,2
604070157,4,4,4,2,4,1,1,1,2
604070158,4,1,2,3,3,1,1,2,2
604070159,5,2,5,3,3,2,1,2,2
604070160,5,2,2,3,3,2,1,2,2
604070161,2,1,4,4,4,2,2,2,2
604070162,1,2,4,5,2,3,2,2,2
604070163,3,1,2,3,4,1,2,1,2
604070164,2,4,3,3,4,2,3,4,4
604070165,4,2,2,4,2,2,4,1,2
604070166,5,5,5,3,5,1,1,1,3
604070167,5,2,2,3,5,1,3,1,1
604070168,2,3,1,5,2,1,1,2,3
604070169,4,4,2,-1,2,2,2,2,2
604070170,4,1,4,4,2,2,2,2,2
604070171,3,2,3,4,3,1,2,2,2
604070172,3,1,2,-1,2,2,2,2,2
604070173,5,5,5,5,5,4,4,4,5
604070174,4,4,1,4,4,4,1,2,2
604070175,2,5,4,3,4,1,2,2,2
604070176,2,1,4,4,3,2,2,3,2
604070177,4,3,2,3,4,2,2,2,4
604070178,4,2,3,2,3,2,4,2,2
604070179,4,1,4,-1,4,2,2,2,3
604070180,4,2,2,3,4,2,2,2,2
604070181,4,2,3,5,5,2,4,3,2
604070182,4,1,4,4,5,1,2,1,2
604070183,4,2,4,5,4,1,4,3,2
604070184,4,2,4,4,4,1,3,2,3
604070185,4,2,4,5,3,1,2,3,2
604070186,4,3,2,-1,4,2,2,2,2
604070187,5,2,4,-1,4,2,4,2,4
604070188,5,2,4,3,5,5,4,3,5
604070189,4,3,2,-1,4,3,4,2,4
604070190,4,4,2,-1,4,3,4,3,2
604070191,4,1,4,4,4,1,2,2,3
604070192,3,3,2,5,2,2,2,2,2
604070193,3,2,3,3,4,1,2,4,3
604070194,4,4,4,2,4,2,2,3,3
604070195,4,4,4,4,4,2,2,3,3
604070196,5,2,3,2,4,2,2,2,3
604070197,5,4,4,3,3,2,1,1,2
604070198,4,2,2,2,3,2,2,2,2
604070199,5,4,4,3,2,2,1,2,2
604070200,5,2,4,3,3,2,1,2,2
604070201,2,2,1,2,5,2,1,1,2
604070202,4,1,2,2,4,1,1,1,2
604070203,4,4,3,3,3,3,3,3,3
604070204,4,4,4,4,4,3,4,4,4
604070205,3,4,4,2,2,2,1,2,3
604070206,3,2,4,5,4,3,2,3,3
604070207,4,1,4,5,4,1,3,1,2
604070208,4,1,1,4,3,2,1,2,3
604070209,5,2,4,4,4,1,1,2,4
604070210,1,1,4,3,2,2,3,3,4
604070211,3,1,5,3,5,3,2,3,3
604070212,2,1,3,4,4,3,3,2,2
604070213,2,1,4,5,2,2,3,3,4
604070214,4,2,3,5,4,1,3,2,4
604070215,2,1,3,-1,4,4,4,2,3
604070216,4,4,4,4,2,3,4,2,2
604070217,4,2,4,5,1,1,1,1,2
604070218,1,1,4,4,4,1,2,2,1
604070219,2,2,4,-1,2,2,4,2,2
604070220,4,2,4,4,2,2,2,2,2
604070221,5,5,4,2,4,1,2,3,5
604070222,4,2,2,4,2,2,2,2,2
604070223,1,2,4,2,2,1,2,2,1
604070224,5,1,4,1,2,1,5,2,1
604070225,4,3,4,2,4,2,2,2,2
604070226,1,1,2,2,2,2,2,2,2
604070227,4,1,4,2,2,4,1,1,2
604070228,4,3,4,2,2,2,1,1,3
604070229,5,1,2,4,4,2,2,1,4
604070230,4,2,4,4,4,3,2,2,4
604070231,4,1,4,4,4,2,1,1,2
604070232,5,2,4,2,5,1,4,1,4
604070233,3,1,4,1,1,1,1,1,2
604070234,3,4,2,4,2,3,1,2,2
604070235,2,2,4,2,4,3,2,2,2
604070236,3,2,4,3,3,3,2,2,3
604070237,2,1,2,4,2,1,2,2,1
